"sample_id","edge_id","source_clean_id","citing_paper_title","matched_pdf_name","matched_pdf_path","pdf_status","source_type","annotation_pdf_name","annotation_pdf_path"
"S013","W4210813858->W2533772775","W4210813858","Data Boundary and Data Pricing Based on the Shapley Value","Source_W4210813858.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W4210813858.pdf","copied","existing_source_pdf","S013__Data Boundary and Data Pricing Based on the Shapley Value.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S013__Data Boundary and Data Pricing Based on the Shapley Value.pdf"
"S014","W3210061505->W2790400697","W3210061505","Personal big data pricing method based on differential privacy","Source_W3210061505.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W3210061505.pdf","copied","existing_source_pdf","S014__Personal big data pricing method based on differential privacy.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S014__Personal big data pricing method based on differential privacy.pdf"
"S015","W3121615946->W2533772775","W3121615946","Data Pricing for Blockchain-based Car Sharing: A Stackelberg Game Approach","11_Data Pricing for Blockchainbased Car Sharing A Stackelberg G.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\11_Data Pricing for Blockchainbased Car Sharing A Stackelberg G.pdf","copied","core_numbered_pdf","S015__Data Pricing for Blockchain-based Car Sharing A Stackelberg Game Approach.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S015__Data Pricing for Blockchain-based Car Sharing A Stackelberg Game Approach.pdf"
"S016","W4226382147->W2045522464","W4226382147","Smartphone App Usage Analysis: Datasets, Methods, and Applications","Source_W4226382147.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W4226382147.pdf","copied","existing_source_pdf","S016__Smartphone App Usage Analysis Datasets, Methods, and Applications.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S016__Smartphone App Usage Analysis Datasets, Methods, and Applications.pdf"
"S017","W2920282816->W2920282816","W2920282816","Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective","20_Pricing for Revenue Maximization in IoT Data Markets An Info.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\20_Pricing for Revenue Maximization in IoT Data Markets An Info.pdf","copied","core_numbered_pdf","S017__Pricing for Revenue Maximization in IoT Data Markets An Information Design Persp.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S017__Pricing for Revenue Maximization in IoT Data Markets An Information Design Persp.pdf"
"S018","W2293940046->W2168402580","W2293940046","Query-Based Data Pricing","07_Query-Based Data Pricing.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\07_Query-Based Data Pricing.pdf","copied","core_numbered_pdf","S018__Query-Based Data Pricing.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S018__Query-Based Data Pricing.pdf"
"S019","W2919782326->W2612128091","W2919782326","Making Big Money from Small Sensors: Trading Time-Series Data under Pufferfish Privacy","Source_W2919782326.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W2919782326.pdf","copied","existing_source_pdf","S019__Making Big Money from Small Sensors Trading Time-Series Data under Pufferfish Pr.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S019__Making Big Money from Small Sensors Trading Time-Series Data under Pufferfish Pr.pdf"
"S020","W3195579788->W3084177365","W3195579788","Data pricing in machine learning pipelines","Source_W3195579788.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W3195579788.pdf","copied","existing_source_pdf","S020__Data pricing in machine learning pipelines.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S020__Data pricing in machine learning pipelines.pdf"
"S021","W3084177365->W2168402580","W3084177365","A Survey on Data Pricing: From Economics to Data Science","18_A Survey on Data Pricing From Economics to Data Science.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\18_A Survey on Data Pricing From Economics to Data Science.pdf","copied","core_numbered_pdf","S021__A Survey on Data Pricing From Economics to Data Science.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S021__A Survey on Data Pricing From Economics to Data Science.pdf"
"S022","W3084177365->W2293940046","W3084177365","A Survey on Data Pricing: From Economics to Data Science","18_A Survey on Data Pricing From Economics to Data Science.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\18_A Survey on Data Pricing From Economics to Data Science.pdf","copied","core_numbered_pdf","S022__A Survey on Data Pricing From Economics to Data Science.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S022__A Survey on Data Pricing From Economics to Data Science.pdf"
"S023","W2790400697->W2765365501","W2790400697","A Survey on Big Data Market: Pricing, Trading and Protection","06_A Survey on Big Data Market Pricing Trading and Protection.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\06_A Survey on Big Data Market Pricing Trading and Protection.pdf","copied","core_numbered_pdf","S023__A Survey on Big Data Market Pricing, Trading and Protection.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S023__A Survey on Big Data Market Pricing, Trading and Protection.pdf"
"S024","W3089176333->W2293940046","W3089176333","Towards Query Pricing on Incomplete Data","Source_W3089176333.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W3089176333.pdf","copied","existing_source_pdf","S024__Towards Query Pricing on Incomplete Data.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S024__Towards Query Pricing on Incomplete Data.pdf"
"S025","W2473283431->W2289113545","W2473283431","Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey","23_Data Collection and Wireless Communication in Internet of Th.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\23_Data Collection and Wireless Communication in Internet of Th.pdf","copied","core_numbered_pdf","S025__Data Collection and Wireless Communication in Internet of Things (IoT) Using Eco.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S025__Data Collection and Wireless Communication in Internet of Things (IoT) Using Eco.pdf"
"S026","W2954543879->W2180742472","W2954543879","Iris: Deep Reinforcement Learning Driven Shared Spectrum Access Architecture for Indoor Neutral-Host Small Cells","Source_W2954543879.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W2954543879.pdf","copied","existing_source_pdf","S026__Iris Deep Reinforcement Learning Driven Shared Spectrum Access Architecture for.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S026__Iris Deep Reinforcement Learning Driven Shared Spectrum Access Architecture for.pdf"
"S027","W3021370403->W2790400697","W3021370403","TIDES: A Trust-Aware IoT Data Economic System With Blockchain-Enabled Multi-Access Edge Computing","Source_W3021370403.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W3021370403.pdf","copied","existing_source_pdf","S027__TIDES A Trust-Aware IoT Data Economic System With Blockchain-Enabled Multi-Acces.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S027__TIDES A Trust-Aware IoT Data Economic System With Blockchain-Enabled Multi-Acces.pdf"
"S028","W3084177365->W2010653253","W3084177365","A Survey on Data Pricing: From Economics to Data Science","18_A Survey on Data Pricing From Economics to Data Science.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\18_A Survey on Data Pricing From Economics to Data Science.pdf","copied","core_numbered_pdf","S028__A Survey on Data Pricing From Economics to Data Science.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S028__A Survey on Data Pricing From Economics to Data Science.pdf"
"S029","W4210813858->W2743929098","W4210813858","Data Boundary and Data Pricing Based on the Shapley Value","Source_W4210813858.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W4210813858.pdf","copied","existing_source_pdf","S029__Data Boundary and Data Pricing Based on the Shapley Value.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S029__Data Boundary and Data Pricing Based on the Shapley Value.pdf"
"S030","W4210813858->W2910976764","W4210813858","Data Boundary and Data Pricing Based on the Shapley Value","Source_W4210813858.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W4210813858.pdf","copied","existing_source_pdf","S030__Data Boundary and Data Pricing Based on the Shapley Value.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S030__Data Boundary and Data Pricing Based on the Shapley Value.pdf"
"S031","W4288391541->W3215634159","W4288391541","Blockchain and AI-Empowered Healthcare Insurance Fraud Detection: an Analysis, Architecture, and Future Prospects","Source_W4288391541.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W4288391541.pdf","copied","existing_source_pdf","S031__Blockchain and AI-Empowered Healthcare Insurance Fraud Detection an Analysis, Ar.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S031__Blockchain and AI-Empowered Healthcare Insurance Fraud Detection an Analysis, Ar.pdf"
"S032","W4210813858->W2293940046","W4210813858","Data Boundary and Data Pricing Based on the Shapley Value","Source_W4210813858.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W4210813858.pdf","copied","existing_source_pdf","S032__Data Boundary and Data Pricing Based on the Shapley Value.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S032__Data Boundary and Data Pricing Based on the Shapley Value.pdf"
"S033","W2514159439->W2045522464","W2514159439","Big Data Driven Mobile Traffic Understanding and Forecasting: A Time Series Approach","Source_W2514159439.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W2514159439.pdf","copied","existing_source_pdf","S033__Big Data Driven Mobile Traffic Understanding and Forecasting A Time Series Appro.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S033__Big Data Driven Mobile Traffic Understanding and Forecasting A Time Series Appro.pdf"
"S034","W3084177365->W2790400697","W3084177365","A Survey on Data Pricing: From Economics to Data Science","18_A Survey on Data Pricing From Economics to Data Science.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\18_A Survey on Data Pricing From Economics to Data Science.pdf","copied","core_numbered_pdf","S034__A Survey on Data Pricing From Economics to Data Science.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S034__A Survey on Data Pricing From Economics to Data Science.pdf"
"S035","W3121615946->W2790400697","W3121615946","Data Pricing for Blockchain-based Car Sharing: A Stackelberg Game Approach","11_Data Pricing for Blockchainbased Car Sharing A Stackelberg G.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\11_Data Pricing for Blockchainbased Car Sharing A Stackelberg G.pdf","copied","core_numbered_pdf","S035__Data Pricing for Blockchain-based Car Sharing A Stackelberg Game Approach.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S035__Data Pricing for Blockchain-based Car Sharing A Stackelberg Game Approach.pdf"
"S036","W2790400697->W2743929098","W2790400697","A Survey on Big Data Market: Pricing, Trading and Protection","06_A Survey on Big Data Market Pricing Trading and Protection.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\06_A Survey on Big Data Market Pricing Trading and Protection.pdf","copied","core_numbered_pdf","S036__A Survey on Big Data Market Pricing, Trading and Protection.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S036__A Survey on Big Data Market Pricing, Trading and Protection.pdf"
"S037","W3089176333->W2743929098","W3089176333","Towards Query Pricing on Incomplete Data","Source_W3089176333.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W3089176333.pdf","copied","existing_source_pdf","S037__Towards Query Pricing on Incomplete Data.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S037__Towards Query Pricing on Incomplete Data.pdf"
"S038","W2790400697->W2473283431","W2790400697","A Survey on Big Data Market: Pricing, Trading and Protection","06_A Survey on Big Data Market Pricing Trading and Protection.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\06_A Survey on Big Data Market Pricing Trading and Protection.pdf","copied","core_numbered_pdf","S038__A Survey on Big Data Market Pricing, Trading and Protection.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S038__A Survey on Big Data Market Pricing, Trading and Protection.pdf"
"S039","W2790400697->W2734426755","W2790400697","A Survey on Big Data Market: Pricing, Trading and Protection","06_A Survey on Big Data Market Pricing Trading and Protection.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\06_A Survey on Big Data Market Pricing Trading and Protection.pdf","copied","core_numbered_pdf","S039__A Survey on Big Data Market Pricing, Trading and Protection.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S039__A Survey on Big Data Market Pricing, Trading and Protection.pdf"
"S040","W2067195421->W2010653253","W2067195421","When Users Interfere with Protocols: Prospect Theory in Wireless Networks using Random Access and Data Pricing as an Example","Source_W2067195421.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W2067195421.pdf","copied","existing_source_pdf","S040__When Users Interfere with Protocols Prospect Theory in Wireless Networks using R.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S040__When Users Interfere with Protocols Prospect Theory in Wireless Networks using R.pdf"
"S041","W3210061505->W2743929098","W3210061505","Personal big data pricing method based on differential privacy","Source_W3210061505.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W3210061505.pdf","copied","existing_source_pdf","S041__Personal big data pricing method based on differential privacy.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S041__Personal big data pricing method based on differential privacy.pdf"
"S042","W3210061505->W2765365501","W3210061505","Personal big data pricing method based on differential privacy","Source_W3210061505.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W3210061505.pdf","copied","existing_source_pdf","S042__Personal big data pricing method based on differential privacy.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S042__Personal big data pricing method based on differential privacy.pdf"
"S043","W3195579788->W2612128091","W3195579788","Data pricing in machine learning pipelines","Source_W3195579788.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W3195579788.pdf","copied","existing_source_pdf","S043__Data pricing in machine learning pipelines.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S043__Data pricing in machine learning pipelines.pdf"
"S044","W2919782326->W2168402580","W2919782326","Making Big Money from Small Sensors: Trading Time-Series Data under Pufferfish Privacy","Source_W2919782326.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W2919782326.pdf","copied","existing_source_pdf","S044__Making Big Money from Small Sensors Trading Time-Series Data under Pufferfish Pr.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S044__Making Big Money from Small Sensors Trading Time-Series Data under Pufferfish Pr.pdf"
"S045","W2921968831->W1841962286","W2921968831","Personal Data Trading Scheme for Data Brokers in IoT Data Marketplaces","Source_W2921968831.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W2921968831.pdf","copied","existing_source_pdf","S045__Personal Data Trading Scheme for Data Brokers in IoT Data Marketplaces.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S045__Personal Data Trading Scheme for Data Brokers in IoT Data Marketplaces.pdf"
"S046","W3084177365->W2734426755","W3084177365","A Survey on Data Pricing: From Economics to Data Science","18_A Survey on Data Pricing From Economics to Data Science.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\18_A Survey on Data Pricing From Economics to Data Science.pdf","copied","core_numbered_pdf","S046__A Survey on Data Pricing From Economics to Data Science.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S046__A Survey on Data Pricing From Economics to Data Science.pdf"
"S047","W2533772775->W2168402580","W2533772775","A pricing model for Big Personal Data","08_A pricing model for Big Personal Data.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\08_A pricing model for Big Personal Data.pdf","copied","core_numbered_pdf","S047__A pricing model for Big Personal Data.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S047__A pricing model for Big Personal Data.pdf"
"S048","W2920282816->W2612128091","W2920282816","Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective","20_Pricing for Revenue Maximization in IoT Data Markets An Info.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\20_Pricing for Revenue Maximization in IoT Data Markets An Info.pdf","copied","core_numbered_pdf","S048__Pricing for Revenue Maximization in IoT Data Markets An Information Design Persp.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S048__Pricing for Revenue Maximization in IoT Data Markets An Information Design Persp.pdf"
"S049","W2509511072->W1994174199","W2509511072","Understanding rollover data","Source_W2509511072.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\Source_W2509511072.pdf","copied","existing_source_pdf","S049__Understanding rollover data.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S049__Understanding rollover data.pdf"
"S050","W2920282816->W2168402580","W2920282816","Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective","20_Pricing for Revenue Maximization in IoT Data Markets An Info.pdf","llm_reliability_annotation_package\source_pdfs_for_section_check\20_Pricing for Revenue Maximization in IoT Data Markets An Info.pdf","copied","core_numbered_pdf","S050__Pricing for Revenue Maximization in IoT Data Markets An Information Design Persp.pdf","llm_reliability_annotation_package\sample_pdfs_by_sample_id\S050__Pricing for Revenue Maximization in IoT Data Markets An Information Design Persp.pdf"
