sample_id,edge_id,citing_paper_title,cited_paper_title,citation_context,citation_context_wrapped,LLM_section,LLM_sentiment,LLM_relevance,LLM_confidence,section_annotation_note,human_section,human_sentiment,human_relevance
S011,W4319769514->W3084177365,"Data-Driven Learning for Data Rights, Data Pricing, and Privacy Computing",A Survey on Data Pricing: From Economics to Data Science,"tor of production in a digital economy, data has been generated in enormous quantities and contains a great deal of economic value. As a result, data driven methods such as machine learning have been widely used in many areas, including chemical reaction prediction [1], protein structure prediction [2], and scientiﬁc com putation [3], among others. Therefore, establishing an efﬁcient and standard data transaction market system would be beneﬁcial for utilizing the value of the production factor of the digital economy. Very recently, Pei [4] presented a review connecting economics, digital product

... [另一次引用] ...

and Harry Shum declare that they have no conﬂict of interest or ﬁnancial conﬂicts to disclose. References [1] Schwaller P, Laino T, Gaudin T, Bolgar P, Hunter CA, Bekas C, et al. Molecular transformer: a model for uncertainty calibrated chemical reaction prediction. ACS Cent Sci 2019;5(9):1572 83. [2] Senior AW, Evans R, Jumper J, Kirkpatrick J, Sifre L, Green T, et al. Improved protein structure prediction using potentials from deep learning. Nature 2020;577(7792):706 10. [3] Lu L, Meng X, Mao Z, Karniadakis GE. DeepXDE: a deep learning library for solving differential equations. SIAM Rev 2021;","tor of production in a digital economy, data has been generated in enormous quantities and contains a great
deal of economic value. As a result, data driven methods such as machine learning have been widely used in
many areas, including chemical reaction prediction [1], protein structure prediction [2], and scientiﬁc com
putation [3], among others. Therefore, establishing an efﬁcient and standard data transaction market system
would be beneﬁcial for utilizing the value of the production factor of the digital economy. Very recently, Pei
[4] presented a review connecting economics, digital product

... [另一次引用] ...

and Harry Shum declare that they have no conﬂict of interest or ﬁnancial conﬂicts to disclose. References [1]
Schwaller P, Laino T, Gaudin T, Bolgar P, Hunter CA, Bekas C, et al. Molecular transformer: a model for
uncertainty calibrated chemical reaction prediction. ACS Cent Sci 2019;5(9):1572 83. [2] Senior AW, Evans R,
Jumper J, Kirkpatrick J, Sifre L, Green T, et al. Improved protein structure prediction using potentials from
deep learning. Nature 2020;577(7792):706 10. [3] Lu L, Meng X, Mao Z, Karniadakis GE. DeepXDE: a deep learning
library for solving differential equations. SIAM Rev 2021;",Introduction,0.85,0.9,0.9,??????????? section????????????????? Other?,,,
S012,W2942073230->W2765365501,Big Data Market Optimization Pricing Model Based on Data Quality,Pricing of Data Products in Data Marketplaces,"ata beyond the past possible range using GPS, cameras, microphones, etc. The storage and calculation of big data are no longer the sole purpose. By using data mining and machine learning to analyze data, it provides an opportunity to bring about breakthroughs in processing video, images, and speech [1]. Unfortunately, only a small amount of data is currently being fully utilized and its use is limited as well. The reuse of these data can create huge commercial value, which is the true meaning of big data. Therefore, in order to make profits and provide data utilization, data can be resold to othe

... [另一次引用] ...

e authors declare that there are no conflicts of interest regarding the publication of this paper. Complexity 9 Acknowledgments This research was supported in part by National Nature Science Foundation of China (Grant no. 91646202) and National Key R&D Program of China (SQ2018YFB140235). References [1] S. A. Fricker and Y. V. Maksimov, “","ata beyond the past possible range using GPS, cameras, microphones, etc. The storage and calculation of big
data are no longer the sole purpose. By using data mining and machine learning to analyze data, it provides an
opportunity to bring about breakthroughs in processing video, images, and speech [1]. Unfortunately, only a
small amount of data is currently being fully utilized and its use is limited as well. The reuse of these data
can create huge commercial value, which is the true meaning of big data. Therefore, in order to make profits
and provide data utilization, data can be resold to othe

... [另一次引用] ...

e authors declare that there are no conflicts of interest regarding the publication of this paper. Complexity
9 Acknowledgments This research was supported in part by National Nature Science Foundation of China (Grant
no. 91646202) and National Key R&D Program of China (SQ2018YFB140235). References [1] S. A. Fricker and Y. V.
Maksimov, “",Introduction,0.5,0.6,0.8,??????????? section????????????????? Other?,,,
S013,W4210813858->W2533772775,Data Boundary and Data Pricing Based on the Shapley Value,A pricing model for Big Personal Data,"t in the data markets. According to the type of sold products and the corresponding pricing mechanism, the related studies can be divided into: 1. Data based pricing. They sell datasets and allow buyers to value the data directly based on the data features, including data information entropy levels [16], [17], data quality levels [18], [19], the fresh and real time features [20], [21], and the amounts of data in the dataset [22]. Also, competitive data trading model [23] considered the willingness to sell of data providers and the willingness to pay of model buyers. They proved that the model has

... [另一次引用] ...

Data brokers in an open society,’’ Dept. Law, Inst. Inf. Law, Open Soc. Found., London, U.K., Nov. 2016, Tech. Rep., p. 64. [15] L. Chen, P. Koutris, and A. Kumar, ‘‘Towards model based pricing for machine learning in a data marketplace,’’ in Proc. Int. Conf. Manage. Data, Jun. 2019, pp. 1535 1552. [16] X. Li, J. Yao, X. Liu, and H. Guan, ‘‘A ﬁrst look at information entropy based data pricing,’’ in Proc. IEEE 37th Int. Conf. Distrib. Comput. Syst. (ICDCS), Jun. 2017, pp. 2053 2060. [17] Y. Shen, B. Guo, Y. Shen, X. Duan, X. Dong, and H. Zhang, ‘‘","t in the data markets. According to the type of sold products and the corresponding pricing mechanism, the
related studies can be divided into: 1. Data based pricing. They sell datasets and allow buyers to value the
data directly based on the data features, including data information entropy levels [16], [17], data quality
levels [18], [19], the fresh and real time features [20], [21], and the amounts of data in the dataset [22].
Also, competitive data trading model [23] considered the willingness to sell of data providers and the
willingness to pay of model buyers. They proved that the model has

... [另一次引用] ...

Data brokers in an open society,’’ Dept. Law, Inst. Inf. Law, Open Soc. Found., London, U.K., Nov. 2016, Tech.
Rep., p. 64. [15] L. Chen, P. Koutris, and A. Kumar, ‘‘Towards model based pricing for machine learning in a
data marketplace,’’ in Proc. Int. Conf. Manage. Data, Jun. 2019, pp. 1535 1552. [16] X. Li, J. Yao, X. Liu,
and H. Guan, ‘‘A ﬁrst look at information entropy based data pricing,’’ in Proc. IEEE 37th Int. Conf. Distrib.
Comput. Syst. (ICDCS), Jun. 2017, pp. 2053 2060. [17] Y. Shen, B. Guo, Y. Shen, X. Duan, X. Dong, and H.
Zhang, ‘‘",Methodology,0.85,0.9,0.9,??????????? section????????????????? Other?,,,
S014,W3210061505->W2790400697,Personal big data pricing method based on differential privacy,"A Survey on Big Data Market: Pricing, Trading and Protection","value estimation for privacy preserving big/personal data businesses. Koutris P , Upadhyaya P , Balazinska M , Howe B , Dan S . Query based data pricing. J. ACM 2015;62(5):1 44 . Koutris P , Upadhyaya P , Balazinska M , Howe B , Suciu D . Querymarket demonstration: pricing for online data markets. Proc. VLDB Endow. 2012;5(12):1962 5 . Leroy, S., Werner, J., 2018. Arbitrage and Positive Pricing. pp. 24 34. 10.1017/cbo9781139162272.005 Li C , Li D , Miklau G , Suciu D . A theory of pricing private data. Commun. ACM 2017;60(12):79 86 . Li, C., Miklau, G., 2012. Pricing aggregate queries in a data marketplace. Webdb.","value estimation for privacy preserving big/personal data businesses. Koutris P , Upadhyaya P , Balazinska M ,
Howe B , Dan S . Query based data pricing. J. ACM 2015;62(5):1 44 . Koutris P , Upadhyaya P , Balazinska M ,
Howe B , Suciu D . Querymarket demonstration: pricing for online data markets. Proc. VLDB Endow.
2012;5(12):1962 5 . Leroy, S., Werner, J., 2018. Arbitrage and Positive Pricing. pp. 24 34.
10.1017/cbo9781139162272.005 Li C , Li D , Miklau G , Suciu D . A theory of pricing private data. Commun. ACM
2017;60(12):79 86 . Li, C., Miklau, G., 2012. Pricing aggregate queries in a data marketplace. Webdb.",Methodology,0.85,0.9,0.9,??????????? section????????????????? Other?,,,
S015,W3121615946->W2533772775,Data Pricing for Blockchain-based Car Sharing: A Stackelberg Game Approach,A pricing model for Big Personal Data,"massive amounts of data generated by car sharing service are collected by data owners. In practice, many car service providers, such as DiDi and MeiTuan, collect data (e.g., driving routes and user preferences) and take advantage of data analysis to improve their services for more economic beneﬁts [1]. We consider that the data collected by car sharing belongs to the car sharing company, who has the right to process and sell the collected data. Obviously, to facilitate the exchange of data effectively and securely, the design of a reliable data trading platform for both data owners and buyers is

... [另一次引用] ...

data pricing problem as a three layer Stackelberg game among data owner, service provider and data buyer. We apply backward induction to acquire the Stackelberg equilibrium. Both theoretical and numerical analysis have been conducted to evaluate the performance of the pricing mechanism. REFERENCES [1] Yuncheng Shen, Bing Guo, Yan Shen et al., “","massive amounts of data generated by car sharing service are collected by data owners. In practice, many car
service providers, such as DiDi and MeiTuan, collect data (e.g., driving routes and user preferences) and take
advantage of data analysis to improve their services for more economic beneﬁts [1]. We consider that the data
collected by car sharing belongs to the car sharing company, who has the right to process and sell the
collected data. Obviously, to facilitate the exchange of data effectively and securely, the design of a
reliable data trading platform for both data owners and buyers is

... [另一次引用] ...

data pricing problem as a three layer Stackelberg game among data owner, service provider and data buyer. We
apply backward induction to acquire the Stackelberg equilibrium. Both theoretical and numerical analysis have
been conducted to evaluate the performance of the pricing mechanism. REFERENCES [1] Yuncheng Shen, Bing Guo,
Yan Shen et al., “",Methodology,0.85,0.9,0.98,??????????? section????????????????? Other?,,,
S016,W4226382147->W2045522464,"Smartphone App Usage Analysis: Datasets, Methods, and Applications",Understanding Mobile Traffic Patterns of Large Scale Cellular Towers in Urban Environment,"erators, market intermediaries, app developers, and end consumers [6]. To improve device performance and extend usage time, smartphone manufac turers can optimize the scheduling of various smartphone resources, such as CPU, memory, and battery power, based on the usage patterns of speciﬁc apps [7], [8]. Based on app trafﬁc patterns, network operators can dynamically optimize trafﬁc ofﬂoading schemes and improve network services [9], [10]. Furthermore, network operators and market intermediaries can provide personalized services, such as accurate recommenda tions and targeted advertisements, by pr

... [另一次引用] ...

all, the volume of publications in this ﬁeld is expanding, indicating a burgeoning research ﬁeld. Thus, we aim to conduct a comprehensive literature survey in response to signiﬁcant recent progress in mobile app usage analysis. The app usage data are collected through surveys [14], mon itoring apps [8], network operators [15], and app stores [16]. These data form a cross domain and multi view data ecosys tem that includes various app usage behaviors, e.g., down loading, installing, launching, uninstalling apps, contextual information about app usage, e.g., time, location, trafﬁc, energy consumpti

... [另一次引用] ...

llection method is to use monitoring apps installed on participants’ smart phones to record ﬁne grained app usage behaviors automat ically. Researchers can use this data collection method on a small scale by recruiting volunteers [21] and on a large scale by publishing monitoring apps in app stores [8]. Recruiting volunteers can focus on a particular group of users, e.g., students [22] and older adults [23]. In addition, recruiting volunteers, such as selecting involved users based on their backgrounds and properties, can pre control the quality of data. Publishing in app stores can improve data","erators, market intermediaries, app developers, and end consumers [6]. To improve device performance and
extend usage time, smartphone manufac turers can optimize the scheduling of various smartphone resources, such
as CPU, memory, and battery power, based on the usage patterns of speciﬁc apps [7], [8]. Based on app trafﬁc
patterns, network operators can dynamically optimize trafﬁc ofﬂoading schemes and improve network services
[9], [10]. Furthermore, network operators and market intermediaries can provide personalized services, such as
accurate recommenda tions and targeted advertisements, by pr

... [另一次引用] ...

all, the volume of publications in this ﬁeld is expanding, indicating a burgeoning research ﬁeld. Thus, we aim
to conduct a comprehensive literature survey in response to signiﬁcant recent progress in mobile app usage
analysis. The app usage data are collected through surveys [14], mon itoring apps [8], network operators [15],
and app stores [16]. These data form a cross domain and multi view data ecosys tem that includes various app
usage behaviors, e.g., down loading, installing, launching, uninstalling apps, contextual information about
app usage, e.g., time, location, trafﬁc, energy consumpti

... [另一次引用] ...

llection method is to use monitoring apps installed on participants’ smart phones to record ﬁne grained app
usage behaviors automat ically. Researchers can use this data collection method on a small scale by recruiting
volunteers [21] and on a large scale by publishing monitoring apps in app stores [8]. Recruiting volunteers
can focus on a particular group of users, e.g., students [22] and older adults [23]. In addition, recruiting
volunteers, such as selecting involved users based on their backgrounds and properties, can pre control the
quality of data. Publishing in app stores can improve data",Methodology,0.85,0.9,0.98,??????????? section????????????????? Other?,,,
S017,W2920282816->W2920282816,Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective,Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective,"In this paper, we ﬁrst characterize the distinctive features of IoT data as a commodity, and then present a new IoT data market model from an information design perspective. We further propose a family of data pricing mechanisms for revenue maximization under different market settings. Our MSimple mechanism extracts full surplus from the market for the model with one type of buyer. When multiple types of buyers coexist, our MGeneral mechanism optimally solves the problem of revenue maximization by formulating it as a polynomial size convex program. For a more practical setting where buyers have bounded rationality, we design MPractical mechanism with a tight logarithmic approximation ratio. We evaluate our pricing mechanisms on a real-world ambient sound dataset. Evaluation results show our pricing mechanisms achieve good performance and approach the revenue upper bound.","In this paper, we ﬁrst characterize the distinctive features of IoT data as a commodity, and then present a
new IoT data market model from an information design perspective. We further propose a family of data pricing
mechanisms for revenue maximization under different market settings. Our MSimple mechanism extracts full
surplus from the market for the model with one type of buyer. When multiple types of buyers coexist, our
MGeneral mechanism optimally solves the problem of revenue maximization by formulating it as a polynomial size
convex program. For a more practical setting where buyers have bounded rationality, we design MPractical
mechanism with a tight logarithmic approximation ratio. We evaluate our pricing mechanisms on a real-world
ambient sound dataset. Evaluation results show our pricing mechanisms achieve good performance and approach
the revenue upper bound.",Methodology,0.85,0.9,0.98,??????????? section????????????????? Other?,,,
S018,W2293940046->W2168402580,Query-Based Data Pricing,Query-based data pricing,"In this paper, we propose a framework for pricing data on the Internet that, given the price of a few views, allows the price of any query to be derived automatically. We call this capability “querybased pricing.” We ﬁrst identify two important properties that the pricing function must satisfy, called arbitragefree and discount-free. Then, we prove that there exists a unique function that satisﬁes these properties and extends the seller’s explicit prices to all queries. When both the views and the query are Unions of Conjunctive Queries, the complexity of computing the price is high. To ensure tractability, we restrict the explicit prices to be deﬁned only on selection views (which is the common practice today). We give an algorithm with polynomial time data complexity for computing the price of any chain query by reducing the problem to network ﬂow. Furthermore, we completely characterize the class of Conjunctive Queries without selfjoins that have PTIME data complexity (this class is slightly larger than chain queries), and prove that pricing all other queries is NP-complete, thus establishing a dichotomy on the complexity of the pricing problem when all views are selection queries.","In this paper, we propose a framework for pricing data on the Internet that, given the price of a few views,
allows the price of any query to be derived automatically. We call this capability “querybased pricing.” We
ﬁrst identify two important properties that the pricing function must satisfy, called arbitragefree and
discount-free. Then, we prove that there exists a unique function that satisﬁes these properties and extends
the seller’s explicit prices to all queries. When both the views and the query are Unions of Conjunctive
Queries, the complexity of computing the price is high. To ensure tractability, we restrict the explicit
prices to be deﬁned only on selection views (which is the common practice today). We give an algorithm with
polynomial time data complexity for computing the price of any chain query by reducing the problem to network
ﬂow. Furthermore, we completely characterize the class of Conjunctive Queries without selfjoins that have
PTIME data complexity (this class is slightly larger than chain queries), and prove that pricing all other
queries is NP-complete, thus establishing a dichotomy on the complexity of the pricing problem when all views
are selection queries.",Methodology,0.85,0.9,0.98,??????????? section????????????????? Other?,,,
S019,W2919782326->W2612128091,Making Big Money from Small Sensors: Trading Time-Series Data under Pufferfish Privacy,QIRANA,"We ﬁrst prove that any XM ∈ SM,t is a Markov quilt of Xt by Deﬁnition 2 and d separation. We next prove that for any Markov quilt XM ′ /∈SM,t, there exists XM ∈SM,t such that the upper bound of privacy loss over XM is no more than that over XM ′. Interested readers can refer to our technical report [22] for detailed proofs of Theorem 1 and Lemma 1. B. Privacy Compensation After quantifying the privacy loss ξt, we consider the second component of HORAE, namely the privacy compensation mechanism for the data owner. Just as [10], we ﬁrst introduce a nondecreasing contract function ω(ξt) between the d

... [另一次引用] ...

, but with a lower variance 1 n2 n i=1 vi. If the pricing function π(·) is arbitrage free, then the following conditional statement must hold: 1 n2 n i=1 vi ≤ v ⇒n i=1 π (XQ, vi) ≥π (XQ, v) . We further give Lemma 2 to thwart the above attack, and put its detailed proof into our technical report [22]. Lemma 2. For any arbitrage free pricing function π(Q) that depends on two independent parts XQ and v, it decreases not faster than 1/v. According to Lemma 2, we revise the basic pricing function π(Q) = ρ(Q) =  Xt∈XQ ρ(ξt). We recall that the valid pri vacy compensation function ρ(ξt) hinges on th

... [另一次引用] ...

privacy,” in Proc. of PODS, 2012, pp. 77 88. [20] S. Song, Y. Wang, and K. Chaudhuri, “Pufferﬁsh privacy mechanisms for correlated data,” in Proc. of SIGMOD, 2017, pp. 1291 1306. [21] C. Dwork, G. N. Rothblum, and S. P. Vadhan, “Boosting and differential privacy,” in Proc. of FOCS, 2010, pp. 51 60. [22] “Technical Report for HORAE,” https://www.dropbox.com/s/ dkx6a4c2vw901pe/, 2018. [23] M. Balcan, A. Blum, and Y. Mansour, “Item pricing for revenue maximization,” in Proc. of EC, 2008, pp. 50 59. [24] “ARAS Dataset,” https://www.cmpe.boun.edu.tr/aras/, 2013. [25] “Source Code for HORAE,” https://gi","We ﬁrst prove that any XM ∈ SM,t is a Markov quilt of Xt by Deﬁnition 2 and d separation. We next prove that
for any Markov quilt XM ′ /∈SM,t, there exists XM ∈SM,t such that the upper bound of privacy loss over XM is
no more than that over XM ′. Interested readers can refer to our technical report [22] for detailed proofs of
Theorem 1 and Lemma 1. B. Privacy Compensation After quantifying the privacy loss ξt, we consider the second
component of HORAE, namely the privacy compensation mechanism for the data owner. Just as [10], we ﬁrst
introduce a nondecreasing contract function ω(ξt) between the d

... [另一次引用] ...

, but with a lower variance 1 n2 n i=1 vi. If the pricing function π(·) is arbitrage free, then the following
conditional statement must hold: 1 n2 n i=1 vi ≤ v ⇒n i=1 π (XQ, vi) ≥π (XQ, v) . We further give Lemma 2 to
thwart the above attack, and put its detailed proof into our technical report [22]. Lemma 2. For any arbitrage
free pricing function π(Q) that depends on two independent parts XQ and v, it decreases not faster than 1/v.
According to Lemma 2, we revise the basic pricing function π(Q) = ρ(Q) =  Xt∈XQ ρ(ξt). We recall that the
valid pri vacy compensation function ρ(ξt) hinges on th

... [另一次引用] ...

privacy,” in Proc. of PODS, 2012, pp. 77 88. [20] S. Song, Y. Wang, and K. Chaudhuri, “Pufferﬁsh privacy
mechanisms for correlated data,” in Proc. of SIGMOD, 2017, pp. 1291 1306. [21] C. Dwork, G. N. Rothblum, and
S. P. Vadhan, “Boosting and differential privacy,” in Proc. of FOCS, 2010, pp. 51 60. [22] “Technical Report
for HORAE,” https://www.dropbox.com/s/ dkx6a4c2vw901pe/, 2018. [23] M. Balcan, A. Blum, and Y. Mansour, “Item
pricing for revenue maximization,” in Proc. of EC, 2008, pp. 50 59. [24] “ARAS Dataset,”
https://www.cmpe.boun.edu.tr/aras/, 2013. [25] “Source Code for HORAE,” https://gi",Methodology,0.85,0.9,0.95,??????????? section????????????????? Other?,,,
S020,W3195579788->W3084177365,Data pricing in machine learning pipelines,A Survey on Data Pricing: From Economics to Data Science,"he performance of pricing models are largely dismissed in detailed analysis. Therefore, as suggested by Fernandez et al. [34], a simulation platform that can simulate different behaviors of market participants should be developed. The platform can help us study the advantages and limitations of pricing models in target environments, and choose the best one to deploy. References 1. Agarwal A, Dahleh MA, Sarkar T (2019) A marketplace for data: an algorithmic solution. In: Karlin A, Immorlica N, Johari R (eds) Proceedings of the 2019 ACM conference on economics and computation, EC 2019, Phoenix, AZ, USA, June 24 28, 2019. ACM, pp 701 726. https://doi.org/10.1145/3328526. 3329589 2. Appen (2022) Appen. https://appe

... [另一次引用] ...

erent behaviors of market participants should be developed. The platform can help us study the advantages and limitations of pricing models in target environments, and choose the best one to deploy. References 1. Agarwal A, Dahleh MA, Sarkar T (2019) A marketplace for data: an algorithmic solution. In: Karlin A, Immorlica N, Johari R (eds) Proceedings of the 2019 ACM conference on economics and computation, EC 2019, Phoenix, AZ, USA, June 24 28, 2019. ACM, pp 701 726. https://doi.org/10.1145/3328526. 3329589 2. Appen (2022) Appen. https://appen.com. Accessed 04 Jan 2022 3. Arora S, Hazan E, Kale S (2012) The multiplicative weights update method: a meta algo

... [另一次引用] ...

1) Computational aspects of cooperative game theory. Synthesis lectures on artiﬁcial intelligence and machine learning. Morgan & Claypool Publishers, San Rafael. https://doi.org/10.2200/S00355ED1V01Y201107AIM016 15. Chaudhuri K, Monteleoni C, Sarwate AD (2011) Differentially private empirical risk minimization. J Mach Learn Res 12:1069 1109 16. Chawla S, Deep S, Koutris P, Teng Y (2019) Revenue maximization for query pricing. Proc VLDB Endow 13(1):1 14. https://doi.org/10.14778/3357377.3357378 17. Chen L, Koutris P, Kumar A (2019) Towards model based pricing for machine learning in a data mar ketplace. In: Boncz PA, Manegold S, Ailamaki A, Deshpande A, Kraska T (eds) Proceedings","he performance of pricing models are largely dismissed in detailed analysis. Therefore, as suggested by
Fernandez et al. [34], a simulation platform that can simulate different behaviors of market participants
should be developed. The platform can help us study the advantages and limitations of pricing models in target
environments, and choose the best one to deploy. References 1. Agarwal A, Dahleh MA, Sarkar T (2019) A
marketplace for data: an algorithmic solution. In: Karlin A, Immorlica N, Johari R (eds) Proceedings of the
2019 ACM conference on economics and computation, EC 2019, Phoenix, AZ, USA, June 24 28, 2019. ACM, pp 701
726. https://doi.org/10.1145/3328526. 3329589 2. Appen (2022) Appen. https://appe

... [另一次引用] ...

erent behaviors of market participants should be developed. The platform can help us study the advantages and
limitations of pricing models in target environments, and choose the best one to deploy. References 1. Agarwal
A, Dahleh MA, Sarkar T (2019) A marketplace for data: an algorithmic solution. In: Karlin A, Immorlica N,
Johari R (eds) Proceedings of the 2019 ACM conference on economics and computation, EC 2019, Phoenix, AZ, USA,
June 24 28, 2019. ACM, pp 701 726. https://doi.org/10.1145/3328526. 3329589 2. Appen (2022) Appen.
https://appen.com. Accessed 04 Jan 2022 3. Arora S, Hazan E, Kale S (2012) The multiplicative weights update
method: a meta algo

... [另一次引用] ...

1) Computational aspects of cooperative game theory. Synthesis lectures on artiﬁcial intelligence and machine
learning. Morgan & Claypool Publishers, San Rafael. https://doi.org/10.2200/S00355ED1V01Y201107AIM016 15.
Chaudhuri K, Monteleoni C, Sarwate AD (2011) Differentially private empirical risk minimization. J Mach Learn
Res 12:1069 1109 16. Chawla S, Deep S, Koutris P, Teng Y (2019) Revenue maximization for query pricing. Proc
VLDB Endow 13(1):1 14. https://doi.org/10.14778/3357377.3357378 17. Chen L, Koutris P, Kumar A (2019) Towards
model based pricing for machine learning in a data mar ketplace. In: Boncz PA, Manegold S, Ailamaki A,
Deshpande A, Kraska T (eds) Proceedings",Methodology,0.85,0.9,0.95,??????????? section????????????????? Other?,,,
S021,W3084177365->W2168402580,A Survey on Data Pricing: From Economics to Data Science,Query-based data pricing,"pricing functions. Unfortunately, only selection views and conjunctive queries without self joins are tractable. They present polynomial time algorithms for chain queries and cyclic queries. Technically, the core idea in the view and query based pricing framework is query determinacy [157], [158], [180]. A query Q is said to be determined by a set of views V if the answer to Q can be completely derived from the views. Query determinacy enables the feasibility of arbitrage detec tion. If V determines Q, then arbitrage happens if and only if the price of V is cheaper than that of Q. Koutris et al. [","pricing functions. Unfortunately, only selection views and conjunctive queries without self joins are
tractable. They present polynomial time algorithms for chain queries and cyclic queries. Technically, the core
idea in the view and query based pricing framework is query determinacy [157], [158], [180]. A query Q is said
to be determined by a set of views V if the answer to Q can be completely derived from the views. Query
determinacy enables the feasibility of arbitrage detec tion. If V determines Q, then arbitrage happens if and
only if the price of V is cheaper than that of Q. Koutris et al. [",Methodology,0.85,0.9,0.95,??????????? section????????????????? Other?,,,
S022,W3084177365->W2293940046,A Survey on Data Pricing: From Economics to Data Science,Query-Based Data Pricing,"pricing functions. Unfortunately, only selection views and conjunctive queries without self joins are tractable. They present polynomial time algorithms for chain queries and cyclic queries. Technically, the core idea in the view and query based pricing framework is query determinacy [157], [158], [180]. A query Q is said to be determined by a set of views V if the answer to Q can be completely derived from the views. Query determinacy enables the feasibility of arbitrage detec tion. If V determines Q, then arbitrage happens if and only if the price of V is cheaper than that of Q. Koutris et al. [","pricing functions. Unfortunately, only selection views and conjunctive queries without self joins are
tractable. They present polynomial time algorithms for chain queries and cyclic queries. Technically, the core
idea in the view and query based pricing framework is query determinacy [157], [158], [180]. A query Q is said
to be determined by a set of views V if the answer to Q can be completely derived from the views. Query
determinacy enables the feasibility of arbitrage detec tion. If V determines Q, then arbitrage happens if and
only if the price of V is cheaper than that of Q. Koutris et al. [",Methodology,0.85,0.9,0.95,??????????? section????????????????? Other?,,,
S023,W2790400697->W2765365501,"A Survey on Big Data Market: Pricing, Trading and Protection",Pricing of Data Products in Data Marketplaces,"hm pricing algorithm and Time Dependent Pricing based on Transition Rules (TDP TR) pricing algorithm) Collect the usage of a certain dataset Use machine learning TDP KNN algorithm) to collect and analyze the usage of some datasets and calculate the future usage expectation, and then, price the data [82] Monopoly Economic Based Pricing Genetic algorithm Design an assessment methods for exist data product and obtain its multi dimensionality and dimensions Create a data pricing tow level programming model depends on the quality and the proﬁt, and using genetic algorithm solves the model [83] Strong c

... [另一次引用] ...

gestion,” Recent Advances in Networking, vol. 1, pp. 221 274, 2013. [81] Y. C. Tsai, Y. D. Cheng, C. W. Wu, Y. T. Lai, W. H. Hu, J. Y. Jeng, and Y. C. Tseng, “Time dependent smart data pricing based on machine learning,” in Canadian Conference on Artiﬁcial Intelligence. Springer, 2017, pp. 103 108. [82] H. Yu and M. Zhang, “Data pricing strategy based on data quality,” Computers & Industrial Engineering, vol. 112, pp. 1 10, 2017. [83] S. A. Fricker and Y. V. Maksimov, “","hm pricing algorithm and Time Dependent Pricing based on Transition Rules (TDP TR) pricing algorithm) Collect
the usage of a certain dataset Use machine learning TDP KNN algorithm) to collect and analyze the usage of
some datasets and calculate the future usage expectation, and then, price the data [82] Monopoly Economic
Based Pricing Genetic algorithm Design an assessment methods for exist data product and obtain its multi
dimensionality and dimensions Create a data pricing tow level programming model depends on the quality and the
proﬁt, and using genetic algorithm solves the model [83] Strong c

... [另一次引用] ...

gestion,” Recent Advances in Networking, vol. 1, pp. 221 274, 2013. [81] Y. C. Tsai, Y. D. Cheng, C. W. Wu, Y.
T. Lai, W. H. Hu, J. Y. Jeng, and Y. C. Tseng, “Time dependent smart data pricing based on machine learning,”
in Canadian Conference on Artiﬁcial Intelligence. Springer, 2017, pp. 103 108. [82] H. Yu and M. Zhang, “Data
pricing strategy based on data quality,” Computers & Industrial Engineering, vol. 112, pp. 1 10, 2017. [83] S.
A. Fricker and Y. V. Maksimov, “",Methodology,0.85,0.9,0.95,??????????? section????????????????? Other?,,,
