paper_id,title,full_model_score,full_model_score_rank,unweighted_pagerank,unweighted_pagerank_rank,rank_change,abs_rank_change,baseline_rank
W4284704402,"A Taxonomy on Smart Healthcare Technologies: Security Framework, Case Study, and Future Directions",0.004096638655462185,69,0.004096638655462185,74,-5,5,74
W4226305897,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,0.005708158263305323,59,0.007255777310924371,63,-4,4,63
W2581979418,When Social Network Effect Meets Congestion Effect in Wireless Networks: Data Usage Equilibrium and Optimal Pricing,0.014156328717294978,42,0.01839508928571429,46,-4,4,46
W2734445852,A First Look at Information Entropy-Based Data Pricing,0.0003450568467909834,100,0.0008508403361344539,96,4,4,96
W2996741051,Dynamic Pricing for Revenue Maximization in Mobile Social Data Market With Network Effects,0.00465248599439776,62,0.00588497899159664,66,-4,4,66
W3113404185,Blockchain Based Data and Energy Trading in Internet of Electric Vehicles,0.012814958251671277,46,0.015677521008403365,50,-4,4,50
W2612128091,QIRANA,0.05141880426853278,15,0.2701038048188026,11,4,4,11
W1841962286,A Priced Public Sensing Framework for Heterogeneous IoT Architectures,0.06693731909495594,10,0.22752056397715342,14,-4,4,14
W4323644227,A Survey of Data Pricing for Data Marketplaces,0.011496848739495802,48,0.01448792016806723,52,-4,4,52
W2993467838,Evaluation of big data frameworks for analysis of smart grids,0.0020483193277310925,81,0.0020483193277310925,84,-3,3,84
W4322604225,Data and Markets,0.0017331932773109247,84,0.0017331932773109247,87,-3,3,87
W3021370403,TIDES: A Trust-Aware IoT Data Economic System With Blockchain-Enabled Multi-Access Edge Computing,0.0018828781512605045,83,0.0018828781512605045,86,-3,3,86
W2168402580,Query-based data pricing,0.1468097847137315,5,1.2127191016560532,2,3,3,2
W2759182208,Pricing privacy – the right to know the value of your personal data,0.016933609995286564,37,0.03157507878151261,40,-3,3,40
W3021125948,Contract Design in Hierarchical Game for Sponsored Content Service Market,0.0017331932773109247,84,0.0017331932773109247,87,-3,3,87
W3040491562,Subscription-Based Data-Sharing Model Using Blockchain and Data as a Service,0.00689732142857143,55,0.0084375,58,-3,3,58
W4281293246,Business model archetypes for data marketplaces in the automotive industry,0.0020483193277310925,81,0.0020483193277310925,84,-3,3,84
W4319769514,"Data-Driven Learning for Data Rights, Data Pricing, and Privacy Computing",0.0023634453781512608,78,0.0023634453781512608,81,-3,3,81
W4281710558,Blockchain for Future Wireless Networks: A Decade Survey,0.0023634453781512608,78,0.0023634453781512608,81,-3,3,81
W2994622980,Smart Contract-Based Data Commodity Transactions for Industrial Internet of Things,0.002993697478991597,75,0.002993697478991597,78,-3,3,78
W3202764263,Regression markets and application to energy forecasting,0.0017331932773109247,84,0.0017331932773109247,87,-3,3,87
W4388068877,Multi-Blockchain Based Data Trading Markets With Novel Pricing Mechanisms,0.0023634453781512608,78,0.0023634453781512608,81,-3,3,81
W4220901737,Data Market Design: A Systematic Literature Review,0.002993697478991597,75,0.002993697478991597,78,-3,3,78
W2974598553,Too Much Data: Prices and Inefficiencies in Data Markets,0.447126520710385,2,0.6386675277784418,4,-2,2,4
W3210061505,Personal big data pricing method based on differential privacy,0.0006302521008403362,96,0.0006302521008403362,98,-2,2,98
W2011238498,Accounting for Incomplete Pass-Through,0.01858609802302424,34,0.04838760504201681,32,2,2,32
W3123243120,Nonrivalry and the Economics of Data,0.3966148072141242,3,0.5674472306249194,5,-2,2,5
W4377287661,A Reference System Architecture with Data Sovereignty for Human-Centric Data Ecosystems,0.0015756302521008406,88,0.0015756302521008406,90,-2,2,90
W1998665878,When Network Effect Meets Congestion Effect,0.012663131510541067,47,0.016266077993697482,49,-2,2,49
W4386021011,What is the value of data? A review of empirical methods,0.0015756302521008406,88,0.0015756302521008406,90,-2,2,90
W3096125752,Data Sharing and Market Power with Two-Sided Platforms,0.0030388444776191285,74,0.003836659663865547,76,-2,2,76
W3014121762,Advancing Data Monetization and the Creation of Data-based Business Models,0.006109506302521009,58,0.007649684873949581,60,-2,2,60
W4210813858,Data Boundary and Data Pricing Based on the Shapley Value,0.0006302521008403362,96,0.0006302521008403362,98,-2,2,98
W4289544372,The value of data in digital-based business models: Measurement and economic policy implications,0.0007878151260504203,95,0.0007878151260504203,97,-2,2,97
W4382600626,"We, the Data",0.00047268907563025216,99,0.00047268907563025216,100,-1,1,100
W2942073230,Big Data Market Optimization Pricing Model Based on Data Quality,0.004134052150925704,68,0.004632352941176471,69,-1,1,69
W4377865288,"The Dimensions of Data Labor: A Road Map for Researchers, Activists, and Policymakers to Empower Data Producers",0.0009453781512605043,94,0.0009453781512605043,95,-1,1,95
W4220799794,Blockchain as IoT Economy Enabler: A Review of Architectural Aspects,0.0011029411764705884,91,0.0011029411764705884,92,-1,1,92
W2954543879,Iris: Deep Reinforcement Learning Driven Shared Spectrum Access Architecture for Indoor Neutral-Host Small Cells,0.0011029411764705884,91,0.0011029411764705884,92,-1,1,92
W3202603574,"COVID-19 acceleration in digitalisation, aggregate productivity growth and the functional income distribution",0.0011029411764705884,91,0.0011029411764705884,92,-1,1,92
W2097281067,TUBE,0.7521140442843489,1,6.673757211257496,1,0,0,1
W2921968831,Personal Data Trading Scheme for Data Brokers in IoT Data Marketplaces,0.007021352390702125,54,0.013912815126050422,54,0,0,54
W3195579788,Data pricing in machine learning pipelines,0.004150258671750639,67,0.0057904411764705885,67,0,0,67
W3186955607,Pricing through health apps generated data—Digital dividend as a game changer: Discrete choice experiment,0.0003151260504201681,101,0.0003151260504201681,101,0,0,101
W2508874533,Smart Media Pricing (SMP): Non-uniform packet pricing game for wireless multimedia communications,0.0003151260504201681,101,0.0003151260504201681,101,0,0,101
W1516789636,Debt Sustainability and Procyclical Fiscal Policies in Latin America,0.0003151260504201681,101,0.0003151260504201681,101,0,0,101
W2758203152,Incentivizing self-capping to increase cloud utilization,0.00015756302521008404,104,0.00015756302521008404,104,0,0,104
W2509511072,Understanding rollover data,0.0,105,0.0,105,0,0,105
