paper_id,title,semantic_only_filtered_score,semantic_only_filtered_score_rank,semantic_temporal_filtered_score,semantic_temporal_filtered_score_rank,full_model_filtered_score,full_model_filtered_score_rank
W4226305897,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,0.0059499737394957996,59,0.005989543544690605,59,0.005708158263305323,59
W2126626399,The Price Is Right,0.005378070128340381,60,0.0056230814524249545,60,0.005580799503721145,60
W4312395603,Shaping future low-carbon energy and transportation systems: Digital technologies and applications,0.0047268907563025216,62,0.0047268907563025216,62,0.0047268907563025216,61
W2996741051,Dynamic Pricing for Revenue Maximization in Mobile Social Data Market With Network Effects,0.00512461032800217,61,0.0050579113224237075,61,0.00465248599439776,62
W4385311348,Evolving deep gated recurrent unit using improved marine predator algorithm for profit prediction based on financial accounting information system,0.004411764705882354,63,0.004411764705882354,63,0.004411764705882354,63
W3002742063,Monetization of Services Provided by Public Fog Nodes Using Blockchain and Smart Contracts,0.004411764705882354,63,0.004411764705882354,63,0.004411764705882354,63
W3008256197,The Effect of Privacy Regulation on the Data Industry: Empirical Evidence from GDPR,0.00434873949579832,66,0.00434873949579832,66,0.00434873949579832,65
W4288685807,New and emerging forms of data and technologies: literature and bibliometric review,0.004254201680672269,67,0.004254201680672269,67,0.004254201680672269,66
W3195579788,Data pricing in machine learning pipelines,0.004404629407594304,65,0.004404629407594304,65,0.004150258671750639,67
W2942073230,Big Data Market Optimization Pricing Model Based on Data Quality,0.0041333029538867605,69,0.004134052150925704,68,0.004134052150925704,68
W4284704402,"A Taxonomy on Smart Healthcare Technologies: Security Framework, Case Study, and Future Directions",0.004096638655462185,70,0.004096638655462185,69,0.004096638655462185,69
W3206864493,Embedding European values in data governance: a case for public data commons,0.004096638655462185,70,0.004096638655462185,69,0.004096638655462185,69
W2342966760,Time and Location Aware Mobile Data Pricing,0.004134537880906387,68,0.0037968174214529802,71,0.0037450717287644394,71
W4310251148,Data monetization: insights from a technology-enabled literature review and research agenda,0.0036239495798319333,72,0.0036239495798319333,72,0.0036239495798319333,72
W2327152018,AMUSE: Empowering Users for Cost-Aware Offloading with Throughput-Delay Tradeoffs,0.0036124923095623446,73,0.002881991958666807,76,0.0034264891387005103,73
W3096125752,Data Sharing and Market Power with Two-Sided Platforms,0.003100052521008404,74,0.003100052521008404,73,0.003100052521008404,74
W2994622980,Smart Contract-Based Data Commodity Transactions for Industrial Internet of Things,0.002993697478991597,75,0.002993697478991597,74,0.002993697478991597,75
W4220901737,Data Market Design: A Systematic Literature Review,0.002993697478991597,75,0.002993697478991597,74,0.002993697478991597,75
W2916829860,ARETE: On Designing Joint Online Pricing and Reward Sharing Mechanisms for Mobile Data Markets,0.00280887505235339,77,0.0028692257820392016,77,0.0029900560304201925,77
W4281710558,Blockchain for Future Wireless Networks: A Decade Survey,0.0023634453781512608,78,0.0023634453781512608,78,0.0023634453781512608,78
W4319769514,"Data-Driven Learning for Data Rights, Data Pricing, and Privacy Computing",0.0023634453781512608,78,0.0023634453781512608,78,0.0023634453781512608,78
W4388068877,Multi-Blockchain Based Data Trading Markets With Novel Pricing Mechanisms,0.0023634453781512608,78,0.0023634453781512608,78,0.0023634453781512608,78
W4281293246,Business model archetypes for data marketplaces in the automotive industry,0.0020483193277310925,81,0.0020483193277310925,81,0.0020483193277310925,81
W2993467838,Evaluation of big data frameworks for analysis of smart grids,0.0020483193277310925,81,0.0020483193277310925,81,0.0020483193277310925,81
W3021370403,TIDES: A Trust-Aware IoT Data Economic System With Blockchain-Enabled Multi-Access Edge Computing,0.0018828781512605045,83,0.0018828781512605045,83,0.0018828781512605045,83
W3021125948,Contract Design in Hierarchical Game for Sponsored Content Service Market,0.0017331932773109247,84,0.0017331932773109247,84,0.0017331932773109247,84
W4322604225,Data and Markets,0.0017331932773109247,84,0.0017331932773109247,84,0.0017331932773109247,84
W3202764263,Regression markets and application to energy forecasting,0.0017331932773109247,84,0.0017331932773109247,84,0.0017331932773109247,84
W3089176333,Towards Query Pricing on Incomplete Data,0.0016118824275328692,87,0.0016560404478330704,87,0.001633197925414918,87
W4386021011,What is the value of data? A review of empirical methods,0.0015756302521008406,88,0.0015756302521008406,88,0.0015756302521008406,88
W4377287661,A Reference System Architecture with Data Sovereignty for Human-Centric Data Ecosystems,0.0015756302521008406,88,0.0015756302521008406,88,0.0015756302521008406,88
W2310916783,Marketplaces for Digital Data: Quo Vadis?,0.001163340336134454,90,0.0012311974789915967,90,0.0012311974789915967,90
W4220799794,Blockchain as IoT Economy Enabler: A Review of Architectural Aspects,0.0011029411764705884,91,0.0011029411764705884,91,0.0011029411764705884,91
W3202603574,"COVID-19 acceleration in digitalisation, aggregate productivity growth and the functional income distribution",0.0011029411764705884,91,0.0011029411764705884,91,0.0011029411764705884,91
W2954543879,Iris: Deep Reinforcement Learning Driven Shared Spectrum Access Architecture for Indoor Neutral-Host Small Cells,0.0011029411764705884,91,0.0011029411764705884,91,0.0011029411764705884,91
W4377865288,"The Dimensions of Data Labor: A Road Map for Researchers, Activists, and Policymakers to Empower Data Producers",0.0009453781512605043,94,0.0009453781512605043,94,0.0009453781512605043,94
W4289544372,The value of data in digital-based business models: Measurement and economic policy implications,0.0007878151260504203,96,0.0007878151260504203,96,0.0007878151260504203,95
W3210061505,Personal big data pricing method based on differential privacy,0.0006302521008403362,97,0.0006302521008403362,97,0.0006302521008403362,96
W4210813858,Data Boundary and Data Pricing Based on the Shapley Value,0.0006302521008403362,97,0.0006302521008403362,97,0.0006302521008403362,96
W2934375453,Personal Data Market Optimization Pricing Model Based on Privacy Level,0.0008134675413143165,95,0.0009310768521544619,95,0.0005476107742693734,98
W4382600626,"We, the Data",0.00047268907563025216,99,0.00047268907563025216,99,0.00047268907563025216,99
W2734445852,A First Look at Information Entropy-Based Data Pricing,0.00035179034884474394,100,0.0003450568467909834,100,0.0003450568467909834,100
W3186955607,Pricing through health apps generated data—Digital dividend as a game changer: Discrete choice experiment,0.0003151260504201681,101,0.0003151260504201681,101,0.0003151260504201681,101
W2508874533,Smart Media Pricing (SMP): Non-uniform packet pricing game for wireless multimedia communications,0.0003151260504201681,101,0.0003151260504201681,101,0.0003151260504201681,101
W1516789636,Debt Sustainability and Procyclical Fiscal Policies in Latin America,0.0003151260504201681,101,0.0003151260504201681,101,0.0003151260504201681,101
W2758203152,Incentivizing self-capping to increase cloud utilization,0.00015756302521008404,104,0.00015756302521008404,104,0.00015756302521008404,104
W2509511072,Understanding rollover data,0.0,105,0.0,105,0.0,105
