rank,paper_id,main_score,title,is_core
25,W2743929098,0.033193895095481374,Data pricing strategy based on data quality,True
26,W3124517880,0.030910947062566675,Optimal Sticky Prices under Rational Inattention,True
27,W2950902070,0.029424862415331536,"A Survey of Smart Data Pricing: Past Proposals, Current Plans, and Future Trends",True
28,W3215634159,0.028676470588235296,Coalition Game and Blockchain-Based Optimal Data Pricing Scheme for Ride Sharing Beyond 5G,True
29,W3121615946,0.02626575630252101,Data Pricing for Blockchain-based Car Sharing: A Stackelberg Game Approach,True
30,W2533772775,0.025204938157629617,A pricing model for Big Personal Data,True
31,W3084177365,0.02218103658861694,A Survey on Data Pricing: From Economics to Data Science,True
32,W2011238498,0.022027240740394156,Accounting for Incomplete Pass-Through,False
33,W4226382147,0.020294117647058827,"Smartphone App Usage Analysis: Datasets, Methods, and Applications",False
34,W2759182208,0.019750773929954325,Pricing privacy – the right to know the value of your personal data,True
35,W3127298136,0.017647058823529415,A Model of the Data Economy,False
36,W2327152018,0.01750297055405584,AMUSE: Empowering Users for Cost-Aware Offloading with Throughput-Delay Tradeoffs,False
37,W3121561769,0.01717436974789916,The Economic Consequences of Data Privacy Regulation: Empirical Evidence from GDPR,False
38,W2765365501,0.016741055208334625,Pricing of Data Products in Data Marketplaces,True
39,W2581979418,0.016521391298149606,When Social Network Effect Meets Congestion Effect in Wireless Networks: Data Usage Equilibrium and Optimal Pricing,False
40,W3209462287,0.01602788388082506,Regulatory Spillovers and Data Governance: Evidence from the GDPR,False
41,W2166180954,0.015436614512174582,Temporary Price Changes and the Real Effects of Monetary Policy,False
42,W1998665878,0.0146734347042675,When Network Effect Meets Congestion Effect,True
43,W4243417153,0.014667944930225295,Selling Cookies,False
44,W4288391541,0.014495798319327733,"Blockchain and AI-Empowered Healthcare Insurance Fraud Detection: an Analysis, Architecture, and Future Prospects",False
45,W2067195421,0.014338235294117648,When Users Interfere with Protocols: Prospect Theory in Wireless Networks using Random Access and Data Pricing as an Example,False
46,W2156471581,0.014314548202354439,Prices and Market Shares in a Menu Cost Model,False
47,W2956647116,0.013392857142857146,Smart Contract Based Data Trading Mode Using Blockchain and Machine Learning,False
48,W3113404185,0.012814958251671277,Blockchain Based Data and Energy Trading in Internet of Electric Vehicles,False
49,W4323644227,0.011320903361344541,A Survey of Data Pricing for Data Marketplaces,False
50,W4390728454,0.010556722689075633,Pricing Game and Blockchain for Electricity Data Trading in Low-Carbon Smart Energy Systems,False
51,W2919782326,0.01018079707144985,Making Big Money from Small Sensors: Trading Time-Series Data under Pufferfish Privacy,False
52,W2734426755,0.009744892398591484,An Online Pricing Mechanism for Mobile Crowdsensing Data Markets,True
53,W2920282816,0.008922652750040045,Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective,True
54,W2921968831,0.007685976118554786,Personal Data Trading Scheme for Data Brokers in IoT Data Marketplaces,False
55,W4360991875,0.0075630252100840345,The Economics of Digital Privacy,False
56,W4293428560,0.00740546218487395,Adoption of Federated Learning for Healthcare Informatics: Emerging Applications and Future Directions,False
57,W3040491562,0.00689732142857143,Subscription-Based Data-Sharing Model Using Blockchain and Data as a Service,False
58,W2190764372,0.006302521008403362,Prospect Pricing in Cognitive Radio Networks,False
59,W3014121762,0.006109506302521009,Advancing Data Monetization and the Creation of Data-based Business Models,False
60,W2126626399,0.005921831555284147,The Price Is Right,False
61,W4226305897,0.005763430372148861,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,False
62,W4312395603,0.0047268907563025216,Shaping future low-carbon energy and transportation systems: Digital technologies and applications,False
63,W3008256197,0.004663865546218488,The Effect of Privacy Regulation on the Data Industry: Empirical Evidence from GDPR,False
64,W2916829860,0.004544227659438594,ARETE: On Designing Joint Online Pricing and Reward Sharing Mechanisms for Mobile Data Markets,False
65,W2996741051,0.0044706932773109255,Dynamic Pricing for Revenue Maximization in Mobile Social Data Market With Network Effects,False
66,W3002742063,0.004411764705882354,Monetization of Services Provided by Public Fog Nodes Using Blockchain and Smart Contracts,False
67,W4385311348,0.004411764705882354,Evolving deep gated recurrent unit using improved marine predator algorithm for profit prediction based on financial accounting information system,False
68,W2942073230,0.0043875199007922545,Big Data Market Optimization Pricing Model Based on Data Quality,False
69,W4288685807,0.004254201680672269,New and emerging forms of data and technologies: literature and bibliometric review,False
70,W4284704402,0.004096638655462185,"A Taxonomy on Smart Healthcare Technologies: Security Framework, Case Study, and Future Directions",False
71,W3206864493,0.004096638655462185,Embedding European values in data governance: a case for public data commons,False
72,W3195579788,0.0038847381838110744,Data pricing in machine learning pipelines,False
73,W4310251148,0.0036239495798319333,Data monetization: insights from a technology-enabled literature review and research agenda,False
74,W2342966760,0.003404729706598061,Time and Location Aware Mobile Data Pricing,False
75,W3096125752,0.003100052521008404,Data Sharing and Market Power with Two-Sided Platforms,False
76,W4220901737,0.002993697478991597,Data Market Design: A Systematic Literature Review,False
77,W2994622980,0.002993697478991597,Smart Contract-Based Data Commodity Transactions for Industrial Internet of Things,False
78,W4281710558,0.0023634453781512608,Blockchain for Future Wireless Networks: A Decade Survey,False
79,W4319769514,0.0023634453781512608,"Data-Driven Learning for Data Rights, Data Pricing, and Privacy Computing",False
80,W4388068877,0.0023634453781512608,Multi-Blockchain Based Data Trading Markets With Novel Pricing Mechanisms,False
81,W4281293246,0.0020483193277310925,Business model archetypes for data marketplaces in the automotive industry,False
82,W2993467838,0.0020483193277310925,Evaluation of big data frameworks for analysis of smart grids,False
83,W3089176333,0.0019782226125790174,Towards Query Pricing on Incomplete Data,False
84,W3021370403,0.0018828781512605045,TIDES: A Trust-Aware IoT Data Economic System With Blockchain-Enabled Multi-Access Edge Computing,False
85,W4322604225,0.0017331932773109247,Data and Markets,False
86,W3202764263,0.0017331932773109247,Regression markets and application to energy forecasting,False
87,W3021125948,0.0017331932773109247,Contract Design in Hierarchical Game for Sponsored Content Service Market,False
88,W4386021011,0.0015756302521008406,What is the value of data? A review of empirical methods,False
89,W4377287661,0.0015756302521008406,A Reference System Architecture with Data Sovereignty for Human-Centric Data Ecosystems,False
90,W2954543879,0.0011029411764705884,Iris: Deep Reinforcement Learning Driven Shared Spectrum Access Architecture for Indoor Neutral-Host Small Cells,False
91,W4220799794,0.0011029411764705884,Blockchain as IoT Economy Enabler: A Review of Architectural Aspects,False
92,W3202603574,0.0011029411764705884,"COVID-19 acceleration in digitalisation, aggregate productivity growth and the functional income distribution",False
93,W2310916783,0.0009815081763109043,Marketplaces for Digital Data: Quo Vadis?,False
94,W4377865288,0.0009453781512605043,"The Dimensions of Data Labor: A Road Map for Researchers, Activists, and Policymakers to Empower Data Producers",False
95,W2934375453,0.0008993775938126872,Personal Data Market Optimization Pricing Model Based on Privacy Level,False
96,W4289544372,0.0007878151260504203,The value of data in digital-based business models: Measurement and economic policy implications,False
97,W3210061505,0.0006302521008403362,Personal big data pricing method based on differential privacy,False
98,W4210813858,0.0006302521008403362,Data Boundary and Data Pricing Based on the Shapley Value,False
99,W4382600626,0.00047268907563025216,"We, the Data",False
100,W2734445852,0.00037718071609058295,A First Look at Information Entropy-Based Data Pricing,False
101,W3186955607,0.0003151260504201681,Pricing through health apps generated data—Digital dividend as a game changer: Discrete choice experiment,False
102,W2508874533,0.0003151260504201681,Smart Media Pricing (SMP): Non-uniform packet pricing game for wireless multimedia communications,False
103,W1516789636,0.0003151260504201681,Debt Sustainability and Procyclical Fiscal Policies in Latin America,False
104,W2758203152,0.00015756302521008404,Incentivizing self-capping to increase cloud utilization,False
105,W2509511072,0.0,Understanding rollover data,False
