paper_id,title,global_citations,in_degree,citation_count_score,citation_count_rank,unweighted_pagerank_score,unweighted_pagerank_score_rank,time_aware_pagerank_score,time_aware_pagerank_score_rank,semantic_pagerank_score_final,semantic_pagerank_score_final_rank,semantic_temporal_score_final,semantic_temporal_score_final_rank,full_model_score_final,full_model_score_final_rank
W2514159439,Big Data Driven Mobile Traffic Understanding and Forecasting: A Time Series Approach,247,0,247,10,0.035609243697479,38,0.035609243697479,22,0.035609243697479,23,0.035609243697479,23,0.035609243697479,22
W2906578628,The Internet of Things: A Review of Enabled Technologies and Future Challenges,245,0,245,11,0.03529411764705883,39,0.03529411764705883,23,0.03529411764705883,24,0.03529411764705883,24,0.03529411764705883,23
W1994174199,Smart data pricing: To share or not to share?,32,2,32,78,0.3244616843766413,9,0.0521858153832239,16,0.04695225341117872,17,0.051710491719234,16,0.034061380399648566,24
W2743929098,Data pricing strategy based on data quality,93,11,93,32,0.2416773391544118,12,0.028367037375214628,29,0.030730574366956802,27,0.033543565252270424,25,0.033193895095481374,25
W3124517880,Optimal Sticky Prices under Rational Inattention,130,2,130,16,0.07330383403361346,25,0.030910947062566675,27,0.03302983849789916,25,0.030910947062566675,27,0.030910947062566675,26
W2950902070,"A Survey of Smart Data Pricing: Past Proposals, Current Plans, and Future Trends",24,1,24,96,0.27626512079577537,10,0.044830632151370564,20,0.040382104475132165,22,0.04442660703697915,20,0.029424862415331536,27
W3215634159,Coalition Game and Blockchain-Based Optimal Data Pricing Scheme for Ride Sharing Beyond 5G,50,4,50,51,0.028676470588235296,41,0.028676470588235296,28,0.028676470588235296,28,0.028676470588235296,28,0.028676470588235296,28
W3121615946,Data Pricing for Blockchain-based Car Sharing: A Stackelberg Game Approach,33,1,33,77,0.02626575630252101,42,0.02626575630252101,30,0.02626575630252101,30,0.02626575630252101,29,0.02626575630252101,29
W2533772775,A pricing model for Big Personal Data,61,8,61,40,0.21176846966911766,16,0.03412143155681663,24,0.026780013245847945,29,0.025200750846995638,30,0.025204938157629617,30
W3084177365,A Survey on Data Pricing: From Economics to Data Science,118,7,118,21,0.04243093487394958,37,0.021781959540273718,33,0.020873808981712955,31,0.022123135911945913,31,0.02218103658861694,31
W2011238498,Accounting for Incomplete Pass-Through,85,1,85,34,0.04838760504201681,32,0.022027240740394156,32,0.019659926470588236,33,0.022027240740394156,32,0.022027240740394156,32
W4226382147,"Smartphone App Usage Analysis: Datasets, Methods, and Applications",126,1,126,18,0.020294117647058827,45,0.020294117647058827,34,0.020294117647058827,32,0.020294117647058827,33,0.020294117647058827,33
W2759182208,Pricing privacy – the right to know the value of your personal data,120,3,120,20,0.03157507878151261,40,0.017886325228315993,36,0.019557267418644074,34,0.020070578568007126,34,0.019750773929954325,34
W3127298136,A Model of the Data Economy,133,0,133,15,0.017647058823529415,47,0.017647058823529415,37,0.017647058823529415,35,0.017647058823529415,35,0.017647058823529415,35
W2327152018,AMUSE: Empowering Users for Cost-Aware Offloading with Throughput-Delay Tradeoffs,31,1,31,82,0.17928440427553835,20,0.0128883058403138,48,0.01046415528000511,49,0.013543443409747245,46,0.017502970554055836,36
W3121561769,The Economic Consequences of Data Privacy Regulation: Empirical Evidence from GDPR,130,0,130,16,0.01717436974789916,48,0.01717436974789916,38,0.01717436974789916,36,0.01717436974789916,36,0.01717436974789916,37
W2765365501,Pricing of Data Products in Data Marketplaces,39,8,39,68,0.22229025275735292,15,0.019057473203655095,35,0.014715880480922629,42,0.01652009958441418,38,0.016741055208334625,38
W2581979418,When Social Network Effect Meets Congestion Effect in Wireless Networks: Data Usage Equilibrium and Optimal Pricing,106,1,106,25,0.01839508928571429,46,0.015292009115361629,41,0.016319674301602017,37,0.016627430488622922,37,0.016521391298149606,39
W3209462287,Regulatory Spillovers and Data Governance: Evidence from the GDPR,109,1,109,24,0.021204831932773113,44,0.016027883880825062,39,0.015713760504201684,38,0.01602788388082506,39,0.01602788388082506,40
W2166180954,Temporary Price Changes and the Real Effects of Monetary Policy,54,1,54,48,0.043503151260504205,36,0.015436614512174582,40,0.014775472689075631,41,0.015436614512174582,40,0.015436614512174582,41
W1998665878,When Network Effect Meets Congestion Effect,25,1,25,93,0.016266077993697482,49,0.01362845984889772,46,0.01450197525720205,43,0.014763568016169818,41,0.0146734347042675,42
W4243417153,Selling Cookies,94,2,94,31,0.053996966911764706,29,0.014318757407461436,44,0.015455843666716646,39,0.01466362936728087,42,0.014667944930225295,43
W4288391541,"Blockchain and AI-Empowered Healthcare Insurance Fraud Detection: an Analysis, Architecture, and Future Prospects",113,0,113,23,0.014495798319327733,51,0.014495798319327733,42,0.014495798319327733,44,0.014495798319327733,43,0.014495798319327733,44
W2067195421,When Users Interfere with Protocols: Prospect Theory in Wireless Networks using Random Access and Data Pricing as an Example,78,1,78,35,0.014338235294117648,53,0.014338235294117648,43,0.014338235294117648,45,0.014338235294117648,44,0.014338235294117648,45
W2156471581,Prices and Market Shares in a Menu Cost Model,55,1,55,46,0.04366071428571429,35,0.014314548202354442,45,0.014933035714285715,40,0.014314548202354439,45,0.014314548202354439,46
W2956647116,Smart Contract Based Data Trading Mode Using Blockchain and Machine Learning,106,0,106,25,0.013392857142857146,55,0.013392857142857146,47,0.013392857142857146,46,0.013392857142857146,47,0.013392857142857146,47
W3113404185,Blockchain Based Data and Energy Trading in Internet of Electric Vehicles,95,1,95,29,0.015677521008403365,50,0.012814958251671277,49,0.012664128151260506,47,0.012814958251671277,48,0.012814958251671277,48
W4323644227,A Survey of Data Pricing for Data Marketplaces,56,1,56,44,0.01448792016806723,52,0.011320903361344541,50,0.010001313025210085,51,0.011320903361344541,49,0.011320903361344541,49
W4390728454,Pricing Game and Blockchain for Electricity Data Trading in Low-Carbon Smart Energy Systems,88,0,88,33,0.010556722689075633,56,0.010556722689075633,52,0.010556722689075633,48,0.010556722689075633,52,0.010556722689075633,50
W2919782326,Making Big Money from Small Sensors: Trading Time-Series Data under Pufferfish Privacy,46,5,46,61,0.06427824973739496,26,0.008287347230957576,53,0.008461050253771245,53,0.01016896345196711,53,0.010180797071449851,51
W2734426755,An Online Pricing Mechanism for Mobile Crowdsensing Data Markets,61,5,61,40,0.3262225991334034,8,0.022911064223613827,31,0.010399222340445019,50,0.010949433489817712,50,0.009744892398591484,52
W2920282816,Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective,37,6,37,69,0.13224199054621852,22,0.010727855475780533,51,0.009410828817318138,52,0.010933679597818657,51,0.008922652750040045,53
W2921968831,Personal Data Trading Scheme for Data Brokers in IoT Data Marketplaces,60,2,60,43,0.013912815126050422,54,0.007539767516904993,55,0.00762016805560542,54,0.007697445534843143,54,0.007685976118554786,54
W4360991875,The Economics of Digital Privacy,69,0,69,38,0.0075630252100840345,61,0.0075630252100840345,54,0.0075630252100840345,55,0.0075630252100840345,55,0.0075630252100840345,55
W4293428560,Adoption of Federated Learning for Healthcare Informatics: Emerging Applications and Future Directions,68,0,68,39,0.00740546218487395,62,0.00740546218487395,56,0.00740546218487395,56,0.00740546218487395,56,0.00740546218487395,56
W3040491562,Subscription-Based Data-Sharing Model Using Blockchain and Data as a Service,55,1,55,46,0.0084375,58,0.00689732142857143,57,0.00689732142857143,57,0.00689732142857143,57,0.00689732142857143,57
W2190764372,Prospect Pricing in Cognitive Radio Networks,61,0,61,40,0.006302521008403362,64,0.006302521008403362,58,0.006302521008403362,59,0.006302521008403362,58,0.006302521008403362,58
W3014121762,Advancing Data Monetization and the Creation of Data-based Business Models,50,1,50,51,0.007649684873949581,60,0.006109506302521009,59,0.006109506302521009,60,0.006109506302521009,59,0.006109506302521009,59
W2126626399,The Price Is Right,43,4,43,64,0.05587698923319328,28,0.005320958416616632,62,0.006757853354207566,58,0.005944428122668958,61,0.005921831555284147,60
W4226305897,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,56,1,56,44,0.007255777310924371,63,0.006095063025210085,60,0.0059499737394957996,61,0.006095063025210085,60,0.005763430372148861,61
W4312395603,Shaping future low-carbon energy and transportation systems: Digital technologies and applications,51,0,51,49,0.0047268907563025216,68,0.0047268907563025216,63,0.0047268907563025216,62,0.0047268907563025216,62,0.0047268907563025216,62
W3008256197,The Effect of Privacy Regulation on the Data Industry: Empirical Evidence from GDPR,35,1,35,74,0.008634453781512607,57,0.0046638655462184885,65,0.00434873949579832,67,0.004663865546218488,63,0.004663865546218488,63
W2916829860,ARETE: On Designing Joint Online Pricing and Reward Sharing Mechanisms for Mobile Data Markets,27,4,27,89,0.02170430672268908,43,0.0032089174246929743,74,0.003862127773948506,72,0.004441411069463157,65,0.0045442276594385945,64
W2996741051,Dynamic Pricing for Revenue Maximization in Mobile Social Data Market With Network Effects,49,1,49,53,0.00588497899159664,66,0.005393907563025211,61,0.00452508888170653,63,0.004622223889555823,64,0.0044706932773109255,65
W3002742063,Monetization of Services Provided by Public Fog Nodes Using Blockchain and Smart Contracts,49,0,49,53,0.004411764705882354,70,0.004411764705882354,67,0.004411764705882354,64,0.004411764705882354,66,0.004411764705882354,66
W4385311348,Evolving deep gated recurrent unit using improved marine predator algorithm for profit prediction based on financial accounting information system,49,0,49,53,0.004411764705882354,70,0.004411764705882354,67,0.004411764705882354,64,0.004411764705882354,66,0.004411764705882354,66
W2942073230,Big Data Market Optimization Pricing Model Based on Data Quality,47,1,47,57,0.004632352941176471,69,0.004172308216425864,70,0.004355923523103433,66,0.0043875199007922545,68,0.0043875199007922545,68
W4288685807,New and emerging forms of data and technologies: literature and bibliometric review,48,0,48,56,0.004254201680672269,72,0.004254201680672269,69,0.004254201680672269,68,0.004254201680672269,69,0.004254201680672269,69
W4284704402,"A Taxonomy on Smart Healthcare Technologies: Security Framework, Case Study, and Future Directions",47,0,47,57,0.004096638655462185,74,0.004096638655462185,71,0.004096638655462185,69,0.004096638655462185,70,0.004096638655462185,70
W3206864493,Embedding European values in data governance: a case for public data commons,47,0,47,57,0.004096638655462185,74,0.004096638655462185,71,0.004096638655462185,69,0.004096638655462185,70,0.004096638655462185,70
W3195579788,Data pricing in machine learning pipelines,45,1,45,62,0.0057904411764705885,67,0.004689897698209719,64,0.003890103338632751,71,0.003977874044354584,72,0.0038847381838110744,72
W4310251148,Data monetization: insights from a technology-enabled literature review and research agenda,44,0,44,63,0.0036239495798319333,77,0.0036239495798319333,73,0.0036239495798319333,73,0.0036239495798319333,73,0.0036239495798319333,73
W2342966760,Time and Location Aware Mobile Data Pricing,41,1,41,65,0.008153492647058825,59,0.004628378705038501,66,0.0034561372915709386,74,0.003413320844715112,74,0.003404729706598061,74
W3096125752,Data Sharing and Market Power with Two-Sided Platforms,36,1,36,70,0.003836659663865547,76,0.003100052521008404,75,0.003100052521008404,75,0.003100052521008404,75,0.003100052521008404,75
W4220901737,Data Market Design: A Systematic Literature Review,40,0,40,66,0.002993697478991597,78,0.002993697478991597,76,0.002993697478991597,76,0.002993697478991597,76,0.002993697478991597,76
W2994622980,Smart Contract-Based Data Commodity Transactions for Industrial Internet of Things,40,0,40,66,0.002993697478991597,78,0.002993697478991597,76,0.002993697478991597,76,0.002993697478991597,76,0.002993697478991597,76
W4281710558,Blockchain for Future Wireless Networks: A Decade Survey,36,0,36,70,0.0023634453781512608,81,0.0023634453781512608,78,0.0023634453781512608,78,0.0023634453781512608,78,0.0023634453781512608,78
W4319769514,"Data-Driven Learning for Data Rights, Data Pricing, and Privacy Computing",36,0,36,70,0.0023634453781512608,81,0.0023634453781512608,78,0.0023634453781512608,78,0.0023634453781512608,78,0.0023634453781512608,78
W4388068877,Multi-Blockchain Based Data Trading Markets With Novel Pricing Mechanisms,36,0,36,70,0.0023634453781512608,81,0.0023634453781512608,78,0.0023634453781512608,78,0.0023634453781512608,78,0.0023634453781512608,78
W4281293246,Business model archetypes for data marketplaces in the automotive industry,34,0,34,75,0.0020483193277310925,84,0.0020483193277310925,81,0.0020483193277310925,81,0.0020483193277310925,81,0.0020483193277310925,81
W2993467838,Evaluation of big data frameworks for analysis of smart grids,34,0,34,75,0.0020483193277310925,84,0.0020483193277310925,81,0.0020483193277310925,81,0.0020483193277310925,81,0.0020483193277310925,81
W3089176333,Towards Query Pricing on Incomplete Data,29,1,29,85,0.006182379201680672,65,0.0018756146931151298,84,0.0017668405338832878,84,0.0019954297752407136,83,0.001978222612579018,83
W3021370403,TIDES: A Trust-Aware IoT Data Economic System With Blockchain-Enabled Multi-Access Edge Computing,27,1,27,89,0.0018828781512605045,86,0.0018828781512605045,83,0.0018828781512605045,83,0.0018828781512605045,84,0.0018828781512605045,84
W4322604225,Data and Markets,32,0,32,78,0.0017331932773109247,87,0.0017331932773109247,85,0.0017331932773109247,85,0.0017331932773109247,85,0.0017331932773109247,85
W3202764263,Regression markets and application to energy forecasting,32,0,32,78,0.0017331932773109247,87,0.0017331932773109247,85,0.0017331932773109247,85,0.0017331932773109247,85,0.0017331932773109247,85
W3021125948,Contract Design in Hierarchical Game for Sponsored Content Service Market,32,0,32,78,0.0017331932773109247,87,0.0017331932773109247,85,0.0017331932773109247,85,0.0017331932773109247,85,0.0017331932773109247,85
W4386021011,What is the value of data? A review of empirical methods,31,0,31,82,0.0015756302521008406,90,0.0015756302521008406,88,0.0015756302521008406,88,0.0015756302521008406,89,0.0015756302521008406,88
W4377287661,A Reference System Architecture with Data Sovereignty for Human-Centric Data Ecosystems,31,0,31,82,0.0015756302521008406,90,0.0015756302521008406,88,0.0015756302521008406,88,0.0015756302521008406,89,0.0015756302521008406,88
W2954543879,Iris: Deep Reinforcement Learning Driven Shared Spectrum Access Architecture for Indoor Neutral-Host Small Cells,28,0,28,86,0.0011029411764705884,92,0.0011029411764705884,92,0.0011029411764705884,91,0.0011029411764705884,91,0.0011029411764705884,90
W4220799794,Blockchain as IoT Economy Enabler: A Review of Architectural Aspects,28,0,28,86,0.0011029411764705884,92,0.0011029411764705884,92,0.0011029411764705884,91,0.0011029411764705884,91,0.0011029411764705884,90
W3202603574,"COVID-19 acceleration in digitalisation, aggregate productivity growth and the functional income distribution",28,0,28,86,0.0011029411764705884,92,0.0011029411764705884,92,0.0011029411764705884,91,0.0011029411764705884,91,0.0011029411764705884,90
W2310916783,Marketplaces for Digital Data: Quo Vadis?,23,1,23,98,0.0028597689075630255,80,0.001133046968787515,91,0.0010235777549656227,94,0.0009815081763109043,94,0.0009815081763109043,93
W4377865288,"The Dimensions of Data Labor: A Road Map for Researchers, Activists, and Policymakers to Empower Data Producers",27,0,27,89,0.0009453781512605043,95,0.0009453781512605043,95,0.0009453781512605043,95,0.0009453781512605043,95,0.0009453781512605043,94
W2934375453,Personal Data Market Optimization Pricing Model Based on Privacy Level,23,1,23,98,0.004252626050420168,73,0.0011527159472884156,90,0.001316068827034435,90,0.0016497216153847675,88,0.000899377593812687,95
W4289544372,The value of data in digital-based business models: Measurement and economic policy implications,26,0,26,92,0.0007878151260504203,97,0.0007878151260504203,96,0.0007878151260504203,96,0.0007878151260504203,96,0.0007878151260504203,96
W3210061505,Personal big data pricing method based on differential privacy,25,0,25,93,0.0006302521008403362,98,0.0006302521008403362,97,0.0006302521008403362,97,0.0006302521008403362,97,0.0006302521008403362,97
W4210813858,Data Boundary and Data Pricing Based on the Shapley Value,25,0,25,93,0.0006302521008403362,98,0.0006302521008403362,97,0.0006302521008403362,97,0.0006302521008403362,97,0.0006302521008403362,97
W4382600626,"We, the Data",24,0,24,96,0.00047268907563025216,100,0.00047268907563025216,99,0.00047268907563025216,99,0.00047268907563025216,99,0.00047268907563025216,99
W2734445852,A First Look at Information Entropy-Based Data Pricing,23,1,23,98,0.0008508403361344539,96,0.000375661699191111,100,0.0003842686817911677,100,0.00037718071609058295,100,0.00037718071609058295,100
W3186955607,Pricing through health apps generated data—Digital dividend as a game changer: Discrete choice experiment,23,0,23,98,0.0003151260504201681,101,0.0003151260504201681,101,0.0003151260504201681,101,0.0003151260504201681,101,0.0003151260504201681,101
W2508874533,Smart Media Pricing (SMP): Non-uniform packet pricing game for wireless multimedia communications,23,0,23,98,0.0003151260504201681,101,0.0003151260504201681,101,0.0003151260504201681,101,0.0003151260504201681,101,0.0003151260504201681,101
W1516789636,Debt Sustainability and Procyclical Fiscal Policies in Latin America,23,0,23,98,0.0003151260504201681,101,0.0003151260504201681,101,0.0003151260504201681,101,0.0003151260504201681,101,0.0003151260504201681,101
W2758203152,Incentivizing self-capping to increase cloud utilization,22,0,22,104,0.00015756302521008404,104,0.00015756302521008404,104,0.00015756302521008404,104,0.00015756302521008404,104,0.00015756302521008404,104
W2509511072,Understanding rollover data,21,0,21,105,0.0,105,0.0,105,0.0,105,0.0,105,0.0,105
