source_id,citing_paper_title,total_edges_from_source,failed_edges,ambiguous_edges,main_failure_reason,failure_ratio
W3195579788,Data pricing in machine learning pipelines,9,1,0,title_fuzzy_match_failed,0.1111111111111111
W4226305897,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,12,1,0,title_fuzzy_match_failed,0.08333333333333333
W2327152018,AMUSE: Empowering Users for Cost-Aware Offloading with Throughput-Delay Tradeoffs,1,0,0,,0.0
W2508874533,Smart Media Pricing (SMP): Non-uniform packet pricing game for wireless multimedia communications,1,0,0,,0.0
W2509511072,Understanding rollover data,2,0,0,,0.0
W2533772775,A pricing model for Big Personal Data,1,0,0,,0.0
W2581979418,When Social Network Effect Meets Congestion Effect in Wireless Networks: Data Usage Equilibrium and Optimal Pricing,1,0,0,,0.0
W2734445852,A First Look at Information Entropy-Based Data Pricing,1,0,0,,0.0
W2790400697,"A Survey on Big Data Market: Pricing, Trading and Protection",8,0,0,,0.0
W2906578628,The Internet of Things: A Review of Enabled Technologies and Future Challenges,1,0,0,,0.0
W2921968831,Personal Data Trading Scheme for Data Brokers in IoT Data Marketplaces,4,0,0,,0.0
W2934375453,Personal Data Market Optimization Pricing Model Based on Privacy Level,2,0,0,,0.0
W2982407593,Trading Private Range Counting over Big IoT Data,1,0,0,,0.0
W2993467838,Evaluation of big data frameworks for analysis of smart grids,1,0,0,,0.0
W2994622980,Smart Contract-Based Data Commodity Transactions for Industrial Internet of Things,2,0,0,,0.0
W2996741051,Dynamic Pricing for Revenue Maximization in Mobile Social Data Market With Network Effects,3,0,0,,0.0
W3002742063,Monetization of Services Provided by Public Fog Nodes Using Blockchain and Smart Contracts,1,0,0,,0.0
W3021125948,Contract Design in Hierarchical Game for Sponsored Content Service Market,2,0,0,,0.0
W3021370403,TIDES: A Trust-Aware IoT Data Economic System With Blockchain-Enabled Multi-Access Edge Computing,2,0,0,,0.0
W3040491562,Subscription-Based Data-Sharing Model Using Blockchain and Data as a Service,1,0,0,,0.0
W3202603574,"COVID-19 acceleration in digitalisation, aggregate productivity growth and the functional income distribution",1,0,0,,0.0
W4281710558,Blockchain for Future Wireless Networks: A Decade Survey,1,0,0,,0.0
W4284704402,"A Taxonomy on Smart Healthcare Technologies: Security Framework, Case Study, and Future Directions",1,0,0,,0.0
W4288685807,New and emerging forms of data and technologies: literature and bibliometric review,1,0,0,,0.0
W4319769514,"Data-Driven Learning for Data Rights, Data Pricing, and Privacy Computing",3,0,0,,0.0
W4377865288,"The Dimensions of Data Labor: A Road Map for Researchers, Activists, and Policymakers to Empower Data Producers",1,0,0,,0.0
