paper_id,title,Structure only_score,Structure only_rank,Semantic only_score,Semantic only_rank,Semantic + temporal_score,Semantic + temporal_rank,Semantic + relation_score,Semantic + relation_rank,Full model_score,Full model_rank
W3121615946,Data Pricing for Blockchain-based Car Sharing: A Stackelberg Game Approach,0.02626575630252101,42,0.02626575630252101,29,0.02626575630252101,29,0.02626575630252101,29,0.02626575630252101,29
W2327152018,AMUSE: Empowering Users for Cost-Aware Offloading with Throughput-Delay Tradeoffs,0.17928440427553838,20,0.014330329810799755,44,0.018223990082299052,35,0.017430888826542718,36,0.02345528951684862,30
W2011238498,Accounting for Incomplete Pass-Through,0.04838760504201681,32,0.019659926470588236,34,0.022027240740394156,31,0.019659926470588236,33,0.022027240740394156,31
W3084177365,A Survey on Data Pricing: From Economics to Data Science,0.04243093487394959,37,0.02053804493627746,31,0.021821380969746024,32,0.0205997409590386,31,0.02191291371931907,32
W2743929098,Data pricing strategy based on data quality,0.2416773391544118,12,0.021185978813089895,30,0.022265581179429405,30,0.020681740005821018,30,0.02171863596067613,33
W4226382147,"Smartphone App Usage Analysis: Datasets, Methods, and Applications",0.020294117647058827,45,0.020294117647058827,32,0.020294117647058827,33,0.020294117647058827,32,0.020294117647058827,34
W2759182208,Pricing privacy – the right to know the value of your personal data,0.03157507878151261,40,0.01966483241727686,33,0.019973709963194,34,0.019420708829875465,34,0.019661870292877495,35
W3127298136,A Model of the Data Economy,0.017647058823529415,47,0.017647058823529415,35,0.017647058823529415,37,0.017647058823529415,35,0.017647058823529415,36
W3121561769,The Economic Consequences of Data Privacy Regulation: Empirical Evidence from GDPR,0.01717436974789916,48,0.01717436974789916,36,0.01717436974789916,38,0.01717436974789916,37,0.01717436974789916,37
W2734426755,An Online Pricing Mechanism for Mobile Crowdsensing Data Markets,0.3262225991334034,8,0.01631852909530623,37,0.01816154402122336,36,0.015274333512081576,39,0.017013562605839326,38
W3209462287,Regulatory Spillovers and Data Governance: Evidence from the GDPR,0.021204831932773113,44,0.015713760504201684,38,0.01602788388082506,39,0.015713760504201684,38,0.01602788388082506,39
W2765365501,Pricing of Data Products in Data Marketplaces,0.22229025275735298,15,0.01355899026649554,46,0.015516764305438378,40,0.013608640413097853,46,0.015582941975370652,40
W2166180954,Temporary Price Changes and the Real Effects of Monetary Policy,0.043503151260504205,36,0.014775472689075631,41,0.015436614512174582,41,0.014775472689075631,41,0.015436614512174582,41
W2581979418,When Social Network Effect Meets Congestion Effect in Wireless Networks: Data Usage Equilibrium and Optimal Pricing,0.01839508928571429,46,0.014851562500000004,40,0.015292009115361629,42,0.014726339285714289,42,0.015119106769276752,42
W4288391541,"Blockchain and AI-Empowered Healthcare Insurance Fraud Detection: an Analysis, Architecture, and Future Prospects",0.014495798319327733,51,0.014495798319327733,42,0.014495798319327733,43,0.014495798319327733,43,0.014495798319327733,43
W2067195421,When Users Interfere with Protocols: Prospect Theory in Wireless Networks using Random Access and Data Pricing as an Example,0.014338235294117648,53,0.014338235294117648,43,0.014338235294117648,44,0.014338235294117648,44,0.014338235294117648,44
W2156471581,Prices and Market Shares in a Menu Cost Model,0.04366071428571429,35,0.014933035714285715,39,0.014314548202354439,45,0.014933035714285715,40,0.014314548202354439,45
W4243417153,Selling Cookies,0.05399696691176471,29,0.014300063099645773,45,0.013601809299403727,47,0.014302031026987492,45,0.013604271984516136,46
W1998665878,When Network Effect Meets Congestion Effect,0.016266077993697482,49,0.01325408022584034,48,0.01362845984889772,46,0.01314764049369748,48,0.013481492854725574,47
W2956647116,Smart Contract Based Data Trading Mode Using Blockchain and Machine Learning,0.013392857142857146,55,0.013392857142857146,47,0.013392857142857146,48,0.013392857142857146,47,0.013392857142857146,48
W3113404185,Blockchain Based Data and Energy Trading in Internet of Electric Vehicles,0.015677521008403365,50,0.012664128151260506,49,0.012814958251671277,49,0.012664128151260506,49,0.012814958251671277,49
W4323644227,A Survey of Data Pricing for Data Marketplaces,0.01448792016806723,52,0.010001313025210085,51,0.011320903361344541,50,0.010001313025210085,51,0.011320903361344541,50
W4390728454,Pricing Game and Blockchain for Electricity Data Trading in Low-Carbon Smart Energy Systems,0.010556722689075633,56,0.010556722689075633,50,0.010556722689075633,52,0.010556722689075633,50,0.010556722689075633,51
W2919782326,Making Big Money from Small Sensors: Trading Time-Series Data under Pufferfish Privacy,0.06427824973739496,26,0.007942972114637986,53,0.009555796113110197,53,0.007977689855735232,53,0.009590671677700694,52
W2920282816,Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective,0.1322419905462185,22,0.009363708718514127,52,0.010866638034861154,51,0.008105295067713826,52,0.008868448186510385,53
W4360991875,The Economics of Digital Privacy,0.0075630252100840345,61,0.0075630252100840345,54,0.0075630252100840345,54,0.0075630252100840345,54,0.0075630252100840345,54
W4293428560,Adoption of Federated Learning for Healthcare Informatics: Emerging Applications and Future Directions,0.00740546218487395,62,0.00740546218487395,55,0.00740546218487395,55,0.00740546218487395,55,0.00740546218487395,55
W2921968831,Personal Data Trading Scheme for Data Brokers in IoT Data Marketplaces,0.013912815126050422,54,0.006903771476745875,56,0.006984642474535037,56,0.0069009265856745435,56,0.006980039886159045,56
W3040491562,Subscription-Based Data-Sharing Model Using Blockchain and Data as a Service,0.0084375,58,0.00689732142857143,57,0.00689732142857143,57,0.00689732142857143,57,0.00689732142857143,57
W2190764372,Prospect Pricing in Cognitive Radio Networks,0.006302521008403362,64,0.006302521008403362,58,0.006302521008403362,58,0.006302521008403362,58,0.006302521008403362,58
W3014121762,Advancing Data Monetization and the Creation of Data-based Business Models,0.007649684873949581,60,0.006109506302521009,59,0.006109506302521009,59,0.006109506302521009,59,0.006109506302521009,59
W4226305897,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,0.007255777310924371,63,0.0059499737394957996,61,0.006095063025210085,60,0.005688813025210085,61,0.005763430372148861,60
W2126626399,The Price Is Right,0.05587698923319329,28,0.00609914600571301,60,0.005374305650288073,62,0.006066674990014937,60,0.005345244509654696,61
W2996741051,Dynamic Pricing for Revenue Maximization in Mobile Social Data Market With Network Effects,0.00588497899159664,66,0.005148371848739497,62,0.005393907563025211,61,0.004706407563025211,63,0.004902836134453782,62
W4312395603,Shaping future low-carbon energy and transportation systems: Digital technologies and applications,0.0047268907563025216,68,0.0047268907563025216,63,0.0047268907563025216,63,0.0047268907563025216,62,0.0047268907563025216,63
W3008256197,The Effect of Privacy Regulation on the Data Industry: Empirical Evidence from GDPR,0.008634453781512607,57,0.00434873949579832,67,0.004663865546218488,64,0.00434873949579832,67,0.004663865546218488,64
W2342966760,Time and Location Aware Mobile Data Pricing,0.008153492647058825,59,0.004609965861344539,64,0.004628378705038501,65,0.004484742647058825,64,0.004493899102528042,65
W3002742063,Monetization of Services Provided by Public Fog Nodes Using Blockchain and Smart Contracts,0.004411764705882354,70,0.004411764705882354,65,0.004411764705882354,66,0.004411764705882354,65,0.004411764705882354,66
W4385311348,Evolving deep gated recurrent unit using improved marine predator algorithm for profit prediction based on financial accounting information system,0.004411764705882354,70,0.004411764705882354,65,0.004411764705882354,66,0.004411764705882354,65,0.004411764705882354,66
W4288685807,New and emerging forms of data and technologies: literature and bibliometric review,0.004254201680672269,72,0.004254201680672269,68,0.004254201680672269,68,0.004254201680672269,68,0.004254201680672269,68
W2942073230,Big Data Market Optimization Pricing Model Based on Data Quality,0.004632352941176471,69,0.004208835551232995,69,0.004229081694952513,69,0.004208835551232995,69,0.004229081694952513,69
W3206864493,Embedding European values in data governance: a case for public data commons,0.004096638655462185,74,0.004096638655462185,70,0.004096638655462185,70,0.004096638655462185,70,0.004096638655462185,70
W4284704402,"A Taxonomy on Smart Healthcare Technologies: Security Framework, Case Study, and Future Directions",0.004096638655462185,74,0.004096638655462185,70,0.004096638655462185,70,0.004096638655462185,70,0.004096638655462185,70
W3195579788,Data pricing in machine learning pipelines,0.0057904411764705885,67,0.003814752374579615,72,0.003843656736936298,72,0.003798271133270827,72,0.003813072812206454,72
W4310251148,Data monetization: insights from a technology-enabled literature review and research agenda,0.0036239495798319333,77,0.0036239495798319333,73,0.0036239495798319333,73,0.0036239495798319333,73,0.0036239495798319333,73
W3096125752,Data Sharing and Market Power with Two-Sided Platforms,0.003836659663865547,76,0.003100052521008404,74,0.003100052521008404,74,0.003100052521008404,74,0.003100052521008404,74
W2916829860,ARETE: On Designing Joint Online Pricing and Reward Sharing Mechanisms for Mobile Data Markets,0.021704306722689082,43,0.002497936344066418,77,0.0028633721992327612,77,0.00264970316407864,77,0.003068747986116596,75
W2994622980,Smart Contract-Based Data Commodity Transactions for Industrial Internet of Things,0.002993697478991597,78,0.002993697478991597,75,0.002993697478991597,75,0.002993697478991597,75,0.002993697478991597,76
W4220901737,Data Market Design: A Systematic Literature Review,0.002993697478991597,78,0.002993697478991597,75,0.002993697478991597,75,0.002993697478991597,75,0.002993697478991597,76
W4319769514,"Data-Driven Learning for Data Rights, Data Pricing, and Privacy Computing",0.0023634453781512608,81,0.0023634453781512608,78,0.0023634453781512608,78,0.0023634453781512608,78,0.0023634453781512608,78
W4388068877,Multi-Blockchain Based Data Trading Markets With Novel Pricing Mechanisms,0.0023634453781512608,81,0.0023634453781512608,78,0.0023634453781512608,78,0.0023634453781512608,78,0.0023634453781512608,78
W4281710558,Blockchain for Future Wireless Networks: A Decade Survey,0.0023634453781512608,81,0.0023634453781512608,78,0.0023634453781512608,78,0.0023634453781512608,78,0.0023634453781512608,78
W2993467838,Evaluation of big data frameworks for analysis of smart grids,0.0020483193277310925,84,0.0020483193277310925,81,0.0020483193277310925,81,0.0020483193277310925,81,0.0020483193277310925,81
W4281293246,Business model archetypes for data marketplaces in the automotive industry,0.0020483193277310925,84,0.0020483193277310925,81,0.0020483193277310925,81,0.0020483193277310925,81,0.0020483193277310925,81
W3021370403,TIDES: A Trust-Aware IoT Data Economic System With Blockchain-Enabled Multi-Access Edge Computing,0.0018828781512605045,86,0.0018828781512605045,83,0.0018828781512605045,83,0.0018828781512605045,83,0.0018828781512605045,83
W3021125948,Contract Design in Hierarchical Game for Sponsored Content Service Market,0.0017331932773109247,87,0.0017331932773109247,84,0.0017331932773109247,84,0.0017331932773109247,84,0.0017331932773109247,84
W3202764263,Regression markets and application to energy forecasting,0.0017331932773109247,87,0.0017331932773109247,84,0.0017331932773109247,84,0.0017331932773109247,84,0.0017331932773109247,84
W4322604225,Data and Markets,0.0017331932773109247,87,0.0017331932773109247,84,0.0017331932773109247,84,0.0017331932773109247,84,0.0017331932773109247,84
W4386021011,What is the value of data? A review of empirical methods,0.0015756302521008406,90,0.0015756302521008406,87,0.0015756302521008406,88,0.0015756302521008406,87,0.0015756302521008406,87
W4377287661,A Reference System Architecture with Data Sovereignty for Human-Centric Data Ecosystems,0.0015756302521008406,90,0.0015756302521008406,87,0.0015756302521008406,88,0.0015756302521008406,87,0.0015756302521008406,87
W3089176333,Towards Query Pricing on Incomplete Data,0.006182379201680672,65,0.0013609814906039176,89,0.0014072429508673488,90,0.0013605473889159987,89,0.0014060753526224405,89
W2310916783,Marketplaces for Digital Data: Quo Vadis?,0.0028597689075630255,80,0.0012816958178620285,91,0.0012495036524185026,91,0.0012816958178620285,90,0.0012495036524185026,90
W4220799794,Blockchain as IoT Economy Enabler: A Review of Architectural Aspects,0.0011029411764705884,92,0.0011029411764705884,92,0.0011029411764705884,92,0.0011029411764705884,91,0.0011029411764705884,91
W2954543879,Iris: Deep Reinforcement Learning Driven Shared Spectrum Access Architecture for Indoor Neutral-Host Small Cells,0.0011029411764705884,92,0.0011029411764705884,92,0.0011029411764705884,92,0.0011029411764705884,91,0.0011029411764705884,91
W3202603574,"COVID-19 acceleration in digitalisation, aggregate productivity growth and the functional income distribution",0.0011029411764705884,92,0.0011029411764705884,92,0.0011029411764705884,92,0.0011029411764705884,91,0.0011029411764705884,91
W4377865288,"The Dimensions of Data Labor: A Road Map for Researchers, Activists, and Policymakers to Empower Data Producers",0.0009453781512605043,95,0.0009453781512605043,95,0.0009453781512605043,95,0.0009453781512605043,94,0.0009453781512605043,94
W2934375453,Personal Data Market Optimization Pricing Model Based on Privacy Level,0.004252626050420168,73,0.0013051373496042091,90,0.0016390815976405036,87,0.0007197844084738483,96,0.0009000700191865347,95
W4289544372,The value of data in digital-based business models: Measurement and economic policy implications,0.0007878151260504203,97,0.0007878151260504203,96,0.0007878151260504203,96,0.0007878151260504203,95,0.0007878151260504203,96
W3210061505,Personal big data pricing method based on differential privacy,0.0006302521008403362,98,0.0006302521008403362,97,0.0006302521008403362,97,0.0006302521008403362,97,0.0006302521008403362,97
W4210813858,Data Boundary and Data Pricing Based on the Shapley Value,0.0006302521008403362,98,0.0006302521008403362,97,0.0006302521008403362,97,0.0006302521008403362,97,0.0006302521008403362,97
W2734445852,A First Look at Information Entropy-Based Data Pricing,0.0008508403361344539,96,0.0005222587810739711,99,0.000510734231821268,99,0.0005222587810739711,99,0.000510734231821268,99
W4382600626,"We, the Data",0.00047268907563025216,100,0.00047268907563025216,100,0.00047268907563025216,100,0.00047268907563025216,100,0.00047268907563025216,100
W3186955607,Pricing through health apps generated data—Digital dividend as a game changer: Discrete choice experiment,0.0003151260504201681,101,0.0003151260504201681,101,0.0003151260504201681,101,0.0003151260504201681,101,0.0003151260504201681,101
W2508874533,Smart Media Pricing (SMP): Non-uniform packet pricing game for wireless multimedia communications,0.0003151260504201681,101,0.0003151260504201681,101,0.0003151260504201681,101,0.0003151260504201681,101,0.0003151260504201681,101
W1516789636,Debt Sustainability and Procyclical Fiscal Policies in Latin America,0.0003151260504201681,101,0.0003151260504201681,101,0.0003151260504201681,101,0.0003151260504201681,101,0.0003151260504201681,101
W2758203152,Incentivizing self-capping to increase cloud utilization,0.00015756302521008404,104,0.00015756302521008404,104,0.00015756302521008404,104,0.00015756302521008404,104,0.00015756302521008404,104
W2509511072,Understanding rollover data,0.0,105,0.0,105,0.0,105,0.0,105,0.0,105
