paper_id,title,semantic_temporal_pagerank,semantic_temporal_pagerank_rank,full_model_score,full_model_score_rank,self_citation_edges,avg_shared_authors,rank_change_due_to_penalty,score_change_due_to_penalty
W3209462287,Regulatory Spillovers and Data Governance: Evidence from the GDPR,0.015210557979218253,38,0.015210557979218253,38,0,0.0,0,0.0
W4288391541,"Blockchain and AI-Empowered Healthcare Insurance Fraud Detection: an Analysis, Architecture, and Future Prospects",0.014495798319327733,40,0.014495798319327733,40,1,2.0,0,0.0
W4243417153,Selling Cookies,0.014661894314231604,39,0.014667568790478112,39,0,0.0,0,5.674476246508159e-06
W2067195421,When Users Interfere with Protocols: Prospect Theory in Wireless Networks using Random Access and Data Pricing as an Example,0.014338235294117648,41,0.014338235294117648,41,0,0.0,0,0.0
W3215634159,Coalition Game and Blockchain-Based Optimal Data Pricing Scheme for Ride Sharing Beyond 5G,0.028676470588235296,25,0.028676470588235296,25,0,0.0,0,0.0
W2514159439,Big Data Driven Mobile Traffic Understanding and Forecasting: A Time Series Approach,0.035609243697479,22,0.035609243697479,22,0,0.0,0,0.0
W3121561769,The Economic Consequences of Data Privacy Regulation: Empirical Evidence from GDPR,0.01717436974789916,36,0.01717436974789916,36,0,0.0,0,0.0
W3127298136,A Model of the Data Economy,0.017647058823529415,35,0.017647058823529415,35,0,0.0,0,0.0
W2906578628,The Internet of Things: A Review of Enabled Technologies and Future Challenges,0.03529411764705883,23,0.03529411764705883,23,0,0.0,0,0.0
W2011238498,Accounting for Incomplete Pass-Through,0.01858609802302424,34,0.01858609802302424,34,0,0.0,0,0.0
W4226382147,"Smartphone App Usage Analysis: Datasets, Methods, and Applications",0.020294117647058827,33,0.020294117647058827,33,0,0.0,0,0.0
W2765365501,Pricing of Data Products in Data Marketplaces,0.023983658000886667,31,0.024019809739064403,31,0,0.0,0,3.615173817773584e-05
W2097281067,TUBE,0.8746396910397656,1,0.7521140442843489,1,1,5.0,0,-0.12252564675541666
W2168402580,Query-based data pricing,0.1452514065543226,5,0.1468097847137315,5,0,0.0,0,0.001558378159408902
W2974598553,Too Much Data: Prices and Inefficiencies in Data Markets,0.4470905312394015,2,0.447126520710385,2,0,0.0,0,3.598947098348848e-05
W3111554765,Optimal Sticky Prices under Rational Inattention,0.16569355958897744,4,0.16569355958897744,4,0,0.0,0,0.0
W3123243120,Nonrivalry and the Economics of Data,0.3965842161638153,3,0.3966148072141242,3,0,0.0,0,3.059105030889242e-05
W2758203152,Incentivizing self-capping to increase cloud utilization,0.00015756302521008404,104,0.00015756302521008404,104,1,1.0,0,0.0
W2310916783,Marketplaces for Digital Data: Quo Vadis?,0.0012238940137926267,90,0.0012238940137926267,90,0,0.0,0,0.0
W3202603574,"COVID-19 acceleration in digitalisation, aggregate productivity growth and the functional income distribution",0.0011029411764705884,91,0.0011029411764705884,91,0,0.0,0,0.0
W4220799794,Blockchain as IoT Economy Enabler: A Review of Architectural Aspects,0.0011029411764705884,91,0.0011029411764705884,91,0,0.0,0,0.0
W2954543879,Iris: Deep Reinforcement Learning Driven Shared Spectrum Access Architecture for Indoor Neutral-Host Small Cells,0.0011029411764705884,91,0.0011029411764705884,91,0,0.0,0,0.0
W3186955607,Pricing through health apps generated data—Digital dividend as a game changer: Discrete choice experiment,0.0003151260504201681,101,0.0003151260504201681,101,0,0.0,0,0.0
W2734445852,A First Look at Information Entropy-Based Data Pricing,0.0003450568467909834,100,0.0003450568467909834,100,0,0.0,0,0.0
W4382600626,"We, the Data",0.00047268907563025216,99,0.00047268907563025216,99,0,0.0,0,0.0
W3202764263,Regression markets and application to energy forecasting,0.0017331932773109247,84,0.0017331932773109247,84,0,0.0,0,0.0
W3021370403,TIDES: A Trust-Aware IoT Data Economic System With Blockchain-Enabled Multi-Access Edge Computing,0.0018828781512605045,83,0.0018828781512605045,83,0,0.0,0,0.0
W3021125948,Contract Design in Hierarchical Game for Sponsored Content Service Market,0.0017331932773109247,84,0.0017331932773109247,84,1,1.5,0,0.0
W4322604225,Data and Markets,0.0017331932773109247,84,0.0017331932773109247,84,0,0.0,0,0.0
W2759182208,Pricing privacy – the right to know the value of your personal data,0.017063596803021427,37,0.016933609995286564,37,0,0.0,0,-0.0001299868077348637
W2156471581,Prices and Market Shares in a Menu Cost Model,0.01385920726672172,43,0.01385920726672172,43,0,0.0,0,0.0
W2956647116,Smart Contract Based Data Trading Mode Using Blockchain and Machine Learning,0.013392857142857146,45,0.013392857142857146,45,0,0.0,0,0.0
W2126626399,The Price Is Right,0.005464580066630463,60,0.00542694471636437,60,0,0.0,0,-3.763535026609331e-05
W2342966760,Time and Location Aware Mobile Data Pricing,0.0037968174214529802,71,0.0037450717287644394,71,0,0.0,0,-5.174569268854082e-05
W4284704402,"A Taxonomy on Smart Healthcare Technologies: Security Framework, Case Study, and Future Directions",0.004096638655462185,69,0.004096638655462185,69,1,3.0,0,0.0
W3206864493,Embedding European values in data governance: a case for public data commons,0.004096638655462185,69,0.004096638655462185,69,0,0.0,0,0.0
W2942073230,Big Data Market Optimization Pricing Model Based on Data Quality,0.004134052150925704,68,0.004134052150925704,68,1,0.3333333333333333,0,0.0
W4310251148,Data monetization: insights from a technology-enabled literature review and research agenda,0.0036239495798319333,72,0.0036239495798319333,72,0,0.0,0,0.0
W4385311348,Evolving deep gated recurrent unit using improved marine predator algorithm for profit prediction based on financial accounting information system,0.004411764705882354,63,0.004411764705882354,63,0,0.0,0,0.0
W3002742063,Monetization of Services Provided by Public Fog Nodes Using Blockchain and Smart Contracts,0.004411764705882354,63,0.004411764705882354,63,0,0.0,0,0.0
W3014121762,Advancing Data Monetization and the Creation of Data-based Business Models,0.006109506302521009,58,0.006109506302521009,58,0,0.0,0,0.0
W4281710558,Blockchain for Future Wireless Networks: A Decade Survey,0.0023634453781512608,78,0.0023634453781512608,78,1,1.0,0,0.0
W4281293246,Business model archetypes for data marketplaces in the automotive industry,0.0020483193277310925,81,0.0020483193277310925,81,1,0.5,0,0.0
W4319769514,"Data-Driven Learning for Data Rights, Data Pricing, and Privacy Computing",0.0023634453781512608,78,0.0023634453781512608,78,1,0.3333333333333333,0,0.0
W4388068877,Multi-Blockchain Based Data Trading Markets With Novel Pricing Mechanisms,0.0023634453781512608,78,0.0023634453781512608,78,0,0.0,0,0.0
W4226305897,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,0.005989543544690605,59,0.005708158263305323,59,0,0.0,0,-0.0002813852813852817
W2190764372,Prospect Pricing in Cognitive Radio Networks,0.006302521008403362,57,0.006302521008403362,57,0,0.0,0,0.0
W2166180954,Temporary Price Changes and the Real Effects of Monetary Policy,0.013701644241511636,44,0.013701644241511636,44,0,0.0,0,0.0
W2581979418,When Social Network Effect Meets Congestion Effect in Wireless Networks: Data Usage Equilibrium and Optimal Pricing,0.014222858893608815,42,0.014156328717294978,42,1,2.0,0,-6.65301763138372e-05
W2509511072,Understanding rollover data,0.0,105,0.0,105,1,0.5,0,0.0
W1516789636,Debt Sustainability and Procyclical Fiscal Policies in Latin America,0.0003151260504201681,101,0.0003151260504201681,101,0,0.0,0,0.0
W2508874533,Smart Media Pricing (SMP): Non-uniform packet pricing game for wireless multimedia communications,0.0003151260504201681,101,0.0003151260504201681,101,0,0.0,0,0.0
W2993467838,Evaluation of big data frameworks for analysis of smart grids,0.0020483193277310925,81,0.0020483193277310925,81,0,0.0,0,0.0
W4386021011,What is the value of data? A review of empirical methods,0.0015756302521008406,88,0.0015756302521008406,88,0,0.0,0,0.0
W3089176333,Towards Query Pricing on Incomplete Data,0.0015960728324287887,87,0.0015766934859207087,87,0,0.0,0,-1.9379346508079966e-05
W4377287661,A Reference System Architecture with Data Sovereignty for Human-Centric Data Ecosystems,0.0015756302521008406,88,0.0015756302521008406,88,0,0.0,0,0.0
W3008256197,The Effect of Privacy Regulation on the Data Industry: Empirical Evidence from GDPR,0.00434873949579832,66,0.00434873949579832,65,0,0.0,-1,0.0
W2123954539,Microeconomic Evidence on Price-Setting,0.04506302521008404,20,0.04506302521008404,19,0,0.0,-1,0.0
W1777686370,The Pricing Behaviour of Firms in the Euro Area: New Survey Evidence,0.06049170593092729,13,0.06049170593092729,12,1,2.0,-1,0.0
W2045522464,Understanding Mobile Traffic Patterns of Large Scale Cellular Towers in Urban Environment,0.06266794260076913,12,0.06266794260076913,11,0,0.0,-1,0.0
W2010653253,A survey of smart data pricing,0.0802011109273166,10,0.07167616541591182,9,1,4.0,-1,-0.008524945511404786
W4323644227,A Survey of Data Pricing for Data Marketplaces,0.011496848739495802,49,0.011496848739495802,48,1,0.1111111111111111,-1,0.0
W1998665878,When Network Effect Meets Congestion Effect,0.012719682160407829,48,0.012663131510541067,47,0,0.0,-1,-5.6550649866761796e-05
W3121615946,Data Pricing for Blockchain-based Car Sharing: A Stackelberg Game Approach,0.02626575630252101,29,0.02626575630252101,28,0,0.0,-1,0.0
W2018362551,The challenges of personal data markets and privacy,0.041188272196961466,21,0.041272093036519526,20,0,0.0,-1,8.38208395580603e-05
W4377865288,"The Dimensions of Data Labor: A Road Map for Researchers, Activists, and Policymakers to Empower Data Producers",0.0009453781512605043,95,0.0009453781512605043,94,0,0.0,-1,0.0
W4288685807,New and emerging forms of data and technologies: literature and bibliometric review,0.004254201680672269,67,0.004254201680672269,66,0,0.0,-1,0.0
W4312395603,Shaping future low-carbon energy and transportation systems: Digital technologies and applications,0.0047268907563025216,62,0.0047268907563025216,61,0,0.0,-1,0.0
W3210061505,Personal big data pricing method based on differential privacy,0.0006302521008403362,97,0.0006302521008403362,96,1,0.5555555555555556,-1,0.0
W4210813858,Data Boundary and Data Pricing Based on the Shapley Value,0.0006302521008403362,97,0.0006302521008403362,96,0,0.0,-1,0.0
W4289544372,The value of data in digital-based business models: Measurement and economic policy implications,0.0007878151260504203,96,0.0007878151260504203,95,0,0.0,-1,0.0
W4390728454,Pricing Game and Blockchain for Electricity Data Trading in Low-Carbon Smart Energy Systems,0.010556722689075633,50,0.010556722689075633,49,0,0.0,-1,0.0
W3113404185,Blockchain Based Data and Energy Trading in Internet of Electric Vehicles,0.012814958251671277,47,0.012814958251671277,46,0,0.0,-1,0.0
W3117086259,"Fintech: what’s old, what’s new?",0.04852941176470589,18,0.04852941176470589,16,0,0.0,-2,0.0
W2612128091,QIRANA,0.050933520665214005,17,0.05141880426853278,15,1,1.0,-2,0.00048528360331877296
W2150449738,The Pricing Behaviour of Italian Firms: New Survey Evidence on Price Stickiness,0.05976879037742265,15,0.05976879037742265,13,0,0.0,-2,0.0
W2982407593,Trading Private Range Counting over Big IoT Data,0.04616596638655463,19,0.04616596638655463,17,0,0.0,-2,0.0
W2293940046,Query-Based Data Pricing,0.052802037797508014,16,0.05257552156084605,14,1,5.0,-2,-0.00022651623666196385
W2327152018,AMUSE: Empowering Users for Cost-Aware Offloading with Throughput-Delay Tradeoffs,0.002720922632736205,77,0.0031454058927408634,73,1,4.0,-4,0.00042448326000465823
W2180742472,Smart data pricing,0.006353004205524404,56,0.008707637818373776,51,3,4.0,-5,0.002354633612849372
W1841962286,A Priced Public Sensing Framework for Heterogeneous IoT Architectures,0.03371257041381078,24,0.06693731909495594,10,0,0.0,-14,0.03322474868114516
