edge_id,source_id,target_id,citing_paper_title,cited_paper_title,old_alignment_status,candidate_alignment_status,target_reference_marker,target_reference_entry,reference_match_method,reference_match_score,all_target_aligned_contexts,candidate_alignment_note,human_alignment_status,human_reference_marker_confirmed,human_note
W4323644227->W2790400697,W4323644227,W2790400697,A Survey of Data Pricing for Data Marketplaces,"A Survey on Big Data Market: Pricing, Trading and Protection",failed,high_confidence,[136],"F. Liang, W. Yu, D. An, Q. Yang, X. Fu, and W. Zhao, “A survey on big data market: Pricing, trading and protection,” IEEE Access, vol. PP , pp. 1–1, 02 2018.",title_compact_exact,0.99,"For example, Liang et al. [136] survey the life cycle of big data, and reviews 11 data pricing models. They also discuss data trading and protection.

... [another target-aligned mention] ...

Very recently, Zhang and Beltr ´an [220] review the state-of-the-art data pricing methods. They categorize data pricing methods according to two important data properties, granularity and privacy, This article covers a substantially broader scope than those [75], [136], [220]. We connect economics, digital product pricing and data product pricing.",Candidate v2.2 rescue via title_compact_exact (score=0.990),correct,[136],
W4323644227->W2765365501,W4323644227,W2765365501,A Survey of Data Pricing for Data Marketplaces,Pricing of Data Products in Data Marketplaces,failed,high_confidence,[75],"S. A. Fricker and Y. V . Maksimov, “Pricing of data products in data marketplaces,” in Software Business, A. Ojala, H. Holm-str¨om Olsson, and K. Werder, Eds. Cham: Springer International Publishing, 2017, pp. 49–66.",title_compact_exact,0.99,"They also discuss data trading and protection. Fricker and Maksimov [75] report a literature survey over 18 research articles regarding several research questions, including maturity of the pric- ing models. Very recently, Zhang and Beltr ´an [220] review the state-of-the-art data pricing methods.

... [another target-aligned mention] ...

Very recently, Zhang and Beltr ´an [220] review the state-of-the-art data pricing methods. They categorize data pricing methods according to two important data properties, granularity and privacy, This article covers a substantially broader scope than those [75], [136], [220]. We connect economics, digital product pricing and data product pricing.",Candidate v2.2 rescue via title_compact_exact (score=0.990),correct,[75],
W4323644227->W2734426755,W4323644227,W2734426755,A Survey of Data Pricing for Data Marketplaces,An Online Pricing Mechanism for Mobile Crowdsensing Data Markets,failed,high_confidence,[223],"Z. Zheng, Y. Peng, F. Wu, S. Tang, and G. Chen, “An online pricing mechanism for mobile crowdsensing data markets,” in Proceedings of the 18th ACM International Symposium on Mobile Ad Hoc Networking and Computing , ser. Mobihoc’17. New York, NY, USA: Association for Computing Machinery, 2017.",title_compact_exact,0.99,"Zheng et al. [223] consider online pricing for mobile crowd-sensing data markets. Different from most of the work on data markets, they assume that data providers are distributed in space and there are three types of spa- tial queries from buyers, namely single-data query (e.g., inquiring the value at a speciﬁc location), multi-data query (e.g., inquiring the mean in a region) and range query (e.g., inquiring the probability that the data at a region falls in a given range).",Candidate v2.2 rescue via title_compact_exact (score=0.990),correct,[223],
W4323644227->W2919782326,W4323644227,W2919782326,A Survey of Data Pricing for Data Marketplaces,Making Big Money from Small Sensors: Trading Time-Series Data under Pufferfish Privacy,failed,high_confidence,[161],"C. Niu, Z. Zheng, S. Tang, X. Gao, and F. Wu, “Making big money from small sensors: Trading time-series data under pufferﬁsh privacy,” in IEEE INFOCOM 2019 - IEEE Conference on Computer Communications, April 2019, pp. 568–576.",title_compact_exact,0.99,Niu et al. [161] further extend to time series data that may have temporal correlations. They adopt Pufferﬁsh privacy [117] to measure privacy losses under temporal correlations.,Candidate v2.2 rescue via title_compact_exact (score=0.990),correct,[161],
W2956647116->W2790400697,W2956647116,W2790400697,Smart Contract Based Data Trading Mode Using Blockchain and Machine Learning,"A Survey on Big Data Market: Pricing, Trading and Protection",failed,high_confidence,[1],"F. Liang, W. Yu, D. An, et al., “A survey on big data market: Pricing,trading andprotection,” IEEEAccess, 2018, vol.6,pp.15132-15154.",title_compact_exact,0.99,"INDEX TERMS Datatradingmode,Smartcontract,Blockchain,Machinelearning,Ethereum.I. INTRODUCTION As many new technologies are integrated into our daily life, such as the mobile and the social network applications, and the smart systems based on the Internet of Things (IoT) (smart home, smart city, smart transportation, smart grid, etc.), a large amount of data will be collected[1].Wehaveenteredtheeraofbigdata, the data sharing and trading is the trend of the times and the inevitable demand of the market. As people pay more and more attention to the economic value of big data in improving the utility efficiency and the decision-making, thecustomer experience and other aspects, some third-party big data trading centers have been established [2].",Candidate v2.2 rescue via title_compact_exact (score=0.990),correct,[1],
W4288391541->W3215634159,W4288391541,W3215634159,"Blockchain and AI-Empowered Healthcare Insurance Fraud Detection: an Analysis, Architecture, and Future Prospects",Coalition Game and Blockchain-Based Optimal Data Pricing Scheme for Ride Sharing Beyond 5G,failed,high_confidence,[34],"R. Kakkar, R. Gupta, S. Tanwar, and J. J. Rodrigues, ``Coalition game and blockchain-based optimal data pricing scheme for ride shar- ing beyond 5G,'' IEEE Syst. J., early access, Dec. 1, 2021, doi: 10.1109/JSYST.2021.3126620.",title_compact_exact,0.99,"In the consensus protocol, all peers in the blockchain network agree on the distributed ledger's current state. There are four types of blockchain: public, private, consortium, and hybrid [34], [35]. In a public blockchain, everyone with internet connectivity can sign on the blockchain to become an authorized node making the public blockchain permissionless [36].",Candidate v2.2 rescue via title_compact_exact (score=0.990),correct,[34],
W2514159439->W2045522464,W2514159439,W2045522464,Big Data Driven Mobile Traffic Understanding and Forecasting: A Time Series Approach,Understanding Mobile Traffic Patterns of Large Scale Cellular Towers in Urban Environment,failed,high_confidence,[16],"H. Wang, F. Xu, Yong Li, P . Zhang, D. Jin, “Understanding Mobile Trafﬁc Patterns of Large Scale Cellular Towers in Urban Environ- ment”, in Proc. ACM IMC 2015.",title_compact_exact,0.99,"Overall, there is a huge difference existing in the trafﬁc distribution of these different hours, reﬂecting the extremely inhomogeneous trafﬁc usages in terms of time and of different base stations. A more detailed trafﬁc analysis and characterization can be found in our prior work [16]. 2.2 Motivation Our dataset records the information of mobile trafﬁc con- sumption of about 9 thousand base stations spanning over one month, which quantitatively characterizes the spatio- temporal distribution of mobile trafﬁc load and human trafﬁc consumption behaviors.",Candidate v2.2 rescue via title_compact_exact (score=0.990),correct,[16],
W4226382147->W2045522464,W4226382147,W2045522464,"Smartphone App Usage Analysis: Datasets, Methods, and Applications",Understanding Mobile Traffic Patterns of Large Scale Cellular Towers in Urban Environment,failed,high_confidence,[9],"F. Xu, Y . Li, H. Wang, P. Zhang, and D. Jin, “Understanding mobile trafﬁc patterns of large scale cellular towers in urban environment,”IEEE/ACM Trans. Netw. , vol. 25, no. 2, pp. 1147–1161, Apr. 2017.",title_compact_exact,0.99,"To improve device performance and extend usage time, smartphone manufac- turers can optimize the scheduling of various smartphoneresources, such as CPU, memory, and battery power, based on the usage patterns of speciﬁc apps [7], [8]. Based on app trafﬁc patterns, network operators can dynamically optimize trafﬁc ofﬂoading schemes and improve network services [9], [10]. Furthermore, network operators and market intermediaries canprovide personalized services, such as accurate recommenda- tions and targeted advertisements, by proﬁling mobile users’ preferences and interests from their app usage behaviors.",Candidate v2.2 rescue via title_compact_exact (score=0.990),correct,[9],
W2954543879->W2045522464,W2954543879,W2045522464,Iris: Deep Reinforcement Learning Driven Shared Spectrum Access Architecture for Indoor Neutral-Host Small Cells,Understanding Mobile Traffic Patterns of Large Scale Cellular Towers in Urban Environment,failed,high_confidence,[81],"H. Wang et al., “Understanding mobile trafﬁc patterns of large scale cellular towers in urban environment,” in Proceedings of the 2015 Internet Measurement Conference. ACM, 2015, pp. 225–238.",title_compact_exact,0.99,"Tenant trafﬁc loads and spectrum availability. To model the trafﬁc loads of tenants, we employed the daily aggregate trafﬁc pattern presented in [81] for an entertainment area, a representative indoor environment. We assume that the aggregate incoming hourly trafﬁc of each tenant follows a normal distribution with mean and variance depending on the particular hour in the day considered as shown in Fig.",Candidate v2.2 rescue via title_compact_exact (score=0.990),correct,[81],
W1994174199->W2950902070,W1994174199,W2950902070,Smart data pricing: To share or not to share?,"A Survey of Smart Data Pricing: Past Proposals, Current Plans, and Future Trends",failed,high_confidence,[181],"S. Sen, C. Joe-Wong, S. Ha, and M. Chiang, “A survey of smart data pricing: Past proposals, current plans, and future trends,” ACM Computing Survey, vol. 46, no. 2, Nov. 2013.",title_compact_exact,0.99,"In addition, Sen et al. [181] survey the major broad-band pricing proposals, including the realizations in various con- sumer data plans around the world. Murthy et al.",Candidate v2.2 rescue via title_compact_exact (score=0.990),correct,[181],
W2942073230->W2743929098,W2942073230,W2743929098,Big Data Market Optimization Pricing Model Based on Data Quality,Data pricing strategy based on data quality,failed,grouped,[29],"H. Yu and M. Zhang, “Data pricing strategy based on data qual- ity,”Computers & Industrial Engineering ,v o l .1 1 2 ,s u p p e m e n t1 , pp. 1–10, 2017 .",title_compact_exact,0.99,"The measurement of dimensions will vary according to the type of data, so quality has to be evaluatedusing the criteria that the data has to comply with. In[28, 29], the applicability of the quality dimension to thedata market has been reviewed, especially the concept of version control, i.e., the data seller creates different quality versions of the data product to suit the needs and tastesof heterogeneous consumers. Literature [30] summarizesseven quality standards, which were expressed as 𝑄 𝑑= {𝑎𝑐𝑐𝑢𝑟𝑎𝑐𝑦, completeness, redundancy, data volume, latency, response time, 𝑡𝑖𝑚𝑒𝑙𝑖𝑛𝑒𝑠𝑠}.",Candidate v2.2 rescue via title_compact_exact (score=0.990),correct,[29],
