sample_id,edge_id,source_id,target_id,citing_paper_title,cited_paper_title,alignment_status,target_reference_marker,target_reference_entry,all_target_aligned_contexts,source_pdf_filename,source_pdf_path,source_text_path,target_pdf_filename,target_pdf_path,source_pdf_missing,target_pdf_missing,LLM_section,LLM_sentiment,LLM_relevance,LLM_confidence,LLM_q,human_alignment_check,human_primary_section,human_sentiment,human_relevance,human_note
sample011,W2921968831->W1841962286,W2921968831,W1841962286,Personal Data Trading Scheme for Data Brokers in IoT Data Marketplaces,A Priced Public Sensing Framework for Heterogeneous IoT Architectures,high_confidence,[23],"A. E. Al-Fagih, F. M. Al-Turjman, W. M. Alsalih, and H. S. Hassanein, “A priced public sensing framework for heterogeneous iot architectures,” IEEE Transactions on Emerging Topics in Computing, vol. 1, no. 1, pp. 133–147, June 2013.","Al-Fagih et al. proposed a data pricing scheme for public sensing framework considering delay, quality of services, and trust factors [23]. Competitive data markets also have been studied.",sample011__source__Personal_Data_Trading_Scheme_for_Data_Brokers_in.pdf,D:\数据集\new\shujudingjia\annotation_package_final\representative\source_pdfs_by_sample_id\sample011__source__Personal_Data_Trading_Scheme_for_Data_Brokers_in.pdf,,,,0,1,Methodology,0.4,0.5,0.8,0.175,,,,,
sample012,W3195579788->W2473283431,W3195579788,W2473283431,Data pricing in machine learning pipelines,Data Collection and Wireless Communication in Internet of Things (IoT) Using Economic Analysis and Pricing Models: A Survey,high_confidence,71,"Luong NC, Hoang DT, Wang P, Niyato D, Kim DI, Han Z (2016) Data collection and wireless communi- cation in internet of things (IoT) using economic analysis and pricing models: a survey. IEEE CommunSurv Tutor 18(4):2546–2590","This strategy is adopted in personal data pricing, where thecost is the total privacy compensation to data owners [ 84]. A disadvantage of the cost-based pricing strategy is that it only considers internal factors in determining the selling price.External factors, such as competition and demands, are not included [ 71]. Customer value-based pricing determines the price of a product primarily based on how much the target customers believe a product is worth [ 27].

... [another target-aligned mention] ...

Customer value-based pricing determines the price of a product primarily based on how much the target customers believe a product is worth [ 27]. To apply customer value-based pricing, a seller needs to estimate customers’ demands for a product through their willingnessand affordability [ 71]. Customer value-based pricing is the most popularly used strategy for data pricing.

... [another target-aligned mention] ...

Game theory provides a powerful tool to implement the strategy. In a non-cooperative game, every seller is selﬁsh and sets theprice that maximizes the seller’s proﬁt independently [ 71]. The competition result, that is the asking price of each seller, is the Nash equilibrium [ 80].",sample012__source__Data_pricing_in_machine_learning_pipelines.pdf,D:\数据集\new\shujudingjia\annotation_package_final\representative\source_pdfs_by_sample_id\sample012__source__Data_pricing_in_machine_learning_pipelines.pdf,,sample012__target__Data_Collection_and_Wireless_Communication_in_In.pdf,D:\数据集\new\shujudingjia\annotation_package_final\representative\target_pdfs_by_sample_id\sample012__target__Data_Collection_and_Wireless_Communication_in_In.pdf,0,0,Other,0.0,0.7,0.9,0.0489999999999999,,,,,
sample013,W2934375453->W2743929098,W2934375453,W2743929098,Personal Data Market Optimization Pricing Model Based on Privacy Level,Data pricing strategy based on data quality,grouped,18,"Yu, H.; Zhang, M. Data pricing strategy based on data quality. Comput. Ind. Eng. 2017 ,112, 1–10. [CrossRef]","2.3. Customer’s Self-Selection Behavior Analysis In the privacy data pricing optimization model, consumer self-selection behavior analysis [ 18,19] is an important component and foundation. In an actual market environment, customer purchases of data products are complex and can be affected by a variety of factors, such as consumer preferences, interests, and data product prices.

... [another target-aligned mention] ...

In this paper, assuming that the consumer is rational, the consumer’s purchase selection behavior for the data product is determined by the utility function of the privacy data. In previous work, most studies assumed that the willingness to pay was a linear function [ 18,20]. However, the linear value function does not accurately capture the estimates of actual data and consumer’s self-selection behavior.",,,,,,1,1,Methodology,0.5,0.6,0.9,0.27,,,,,
sample014,W2942073230->W2743929098,W2942073230,W2743929098,Big Data Market Optimization Pricing Model Based on Data Quality,Data pricing strategy based on data quality,grouped,[29],"H. Yu and M. Zhang, “Data pricing strategy based on data qual- ity,”Computers & Industrial Engineering ,v o l .1 1 2 ,s u p p e m e n t1 , pp. 1–10, 2017 .","The measurement of dimensions will vary according to the type of data, so quality has to be evaluatedusing the criteria that the data has to comply with. In[28, 29], the applicability of the quality dimension to thedata market has been reviewed, especially the concept of version control, i.e., the data seller creates different quality versions of the data product to suit the needs and tastesof heterogeneous consumers. Literature [30] summarizesseven quality standards, which were expressed as 𝑄 𝑑= {𝑎𝑐𝑐𝑢𝑟𝑎𝑐𝑦, completeness, redundancy, data volume, latency, response time, 𝑡𝑖𝑚𝑒𝑙𝑖𝑛𝑒𝑠𝑠}.",sample014__source__Big_Data_Market_Optimization_Pricing_Model_Based.pdf,D:\数据集\new\shujudingjia\annotation_package_final\representative\source_pdfs_by_sample_id\sample014__source__Big_Data_Market_Optimization_Pricing_Model_Based.pdf,,,,0,1,Introduction,0.6,0.8,0.7,0.2048000000000001,,,,,
sample015,W2996741051->W2342966760,W2996741051,W2342966760,Dynamic Pricing for Revenue Maximization in Mobile Social Data Market With Network Effects,Time and Location Aware Mobile Data Pricing,high_confidence,[33],"Q. Ma, Y .-F. Liu and J. Huang, “Time and location aware mobile data pricing,” IEEE Transactions on Mobile Computing, vol. 15, no. 10, pp. 2599–2613, Ocotober 2016.","Therefore, congestion effect from physical domain on user behaviors is also common [29]–[32]. For example, if an Internet network operator becomes oversubscribed, its sub- scribers suffer from the congestion due to limited bandwidth and radio resources [33]. Consequently, the model introduced in [8], [9], [27], [28] has a major limitation as it cannot be applied into the wireless network environments, in which the 1536-1276 (c) 2019 IEEE.

... [another target-aligned mention] ...

Citation information: DOI 10.1109/TWC.2019.2957092, IEEE Transactions on Wireless Communications 3 Table I COMPARISON OF OUR WORK WITH MOST RELATED WORKS ON PRICING Ref. Pricing goods Pricing scheme Network effects Congestion effects [29], [30], [32] Networking resources Static pricing  X [31] Networking resources Dynamic pricing  X [16], [33] Mobile data Dynamic pricing   [8], [9], [34] Social goods Static pricing X  [27], [28] Social goods Dynamic pricing X  [5] Mobile social data Static pricing X X Ours Mobile social data Dynamic pricing X X radio resource is scarce and congestion can frequently happen. As such, the question remains to be answered whether the network operators keep beneﬁting from network effects when congestion happens.",,,,,,1,1,Introduction,0.0,0.5,0.8,0.05,,,,,
sample016,W3021125948->W2010653253,W3021125948,W2010653253,Contract Design in Hierarchical Game for Sponsored Content Service Market,A survey of smart data pricing,high_confidence,[35],"S. Sen, C. Joe-Wong, S. Ha and M. Chiang, “A survey of smart data pricing: Past proposals, current plans, and future trends,” Acm computing surveys (csur), vol. 46, no. 2, pp. 15, 2013.","Thus, the MNO determines the optimal price pto solve the following payoff, i.e., utility, maximization problem: UMNO (p) =XN i=1i[(1",,,,,,1,1,Methodology,0.5,0.4,0.7,0.12,,,,,
sample017,W3021125948->W2996741051,W3021125948,W2996741051,Contract Design in Hierarchical Game for Sponsored Content Service Market,Dynamic Pricing for Revenue Maximization in Mobile Social Data Market With Network Effects,high_confidence,[50],"Z. Xiong, D. Niyato, P . Wang, Z. Han and Y. Zhang, “Dynamic pricing for revenue maximization in mobile social data market with network effects,” IEEE Transactions on Wireless Communica- tions, 2019. Authorized licensed use limited to: University College London. Downloaded on May 24,2020 at 22:30:45 UTC from IEEE Xplore. Restrictions apply. 1536-1233 (c) 2020 IEEE. Personal use is permitted, but republication/redistribution requires IEEE permission. See http://www.ieee.org/publications_standards/publications/rights/index.html for more information.This article has been accepted for publication in a future issue of this journal, but has not been fully edited. Content may change prior to final publication. Citation information: DOI 10.1109/TMC.2020.2991060, IEEE Transactions on Mobile Computing 16 Zehui Xiong (S’17) is currently a researcher with Alibaba-NTU Singapore Joint Research In- stitute, Nanyang Technological University, Sin- gapore. He received the Ph.D. degree in the School of Computer Science and Engineering, Nanyang Technological University, Singapore, in 2020. He received the B.Eng degree with the highest honors in Telecommunication Engineer- ing from Huazhong University of Science and Technology, Wuhan, China, in 2016. He is the visiting scholar with Department of Electrical En- gineering at Princeton University in Jul to Aug 2019. He is also the visiting scholar with BBCR lab in Department of Electrical and Computer Engineering at University of Waterloo from Dec 2019 to Jan 2020. His re- search interests include network economics, wireless communications, blockchain, and edge intelligence. Jun Zhao (S’10-M’15) is currently an Assistant Professor in the School of Computer Science and Engineering at Nanyang Technological Uni- versity (NTU) in Singapore. He received a PhD degree in Electrical and Computer Engineering from Carnegie Mellon University (CMU) in the USA. Before joining NTU ﬁrst as a postdoc with Xiaokui Xiao and then as a faculty member, he was a postdoc at Arizona State University as an Arizona Computing PostDoc Best Practices Fel- low. His research interests include blockchains, security, and privacy with applications to the Internet of Things and deep learning. Yang Zhang (M’11) is currently a research fel- low in Energy Research Institute @ NTU. He received B. Eng., B. Eng. (Minor), and M. Eng. from Beihang University (BUAA) in 2008, 2010 and 2011, respectively. He obtained a Ph.D. degree in Computer Engineering from Nanyang Technological University, Singapore, in 2015. His current research interests include: market- oriented modeling for network resource alloca- tions, optimal decision making problems, mul- tiple objective optimization and deep reinforce- ment learning. Dusit Niyato (M’09-SM’15-F’17) is currently a full professor in the School of Computer Science and Engineering, at Nanyang Technological Uni- versity, Singapore. He received B.Eng. from King Mongkuts Institute of Technology Ladkrabang (KMITL), Thailand in 1999 and Ph.D. in Electrical and Computer Engineering from the University of Manitoba, Canada in 2008. His research in- terests are in the area of energy harvesting for wireless communication, Internet of Things (IoT) and sensor networks. Junshan Zhang (S’98-M’00-SM’06-F’12) re- ceived the Ph.D. degree from the School of ECE, Purdue University, in 2000. He joined the School of ECEE, Arizona State University, AZ, USA, in 2000, where he has been a Professor since 2010. His research interests fall in the general ﬁeld of information networks and its intersec- tions with power networks and social networks, and fundamental problems in information net- works and energy networks, including model- ing and optimization for smart grid, optimiza- tion/control of mobile social networks and cognitive radio networks, and privacy/security in information networks. Dr. Zhang is a recipient of the ONR Y oung Investigator Award in 2005 and the NSF CAREER award in 2003. He received the Outstanding Research Award from the IEEE Phoenix Section in 2003. He co-authored two papers that received the Best Paper Runner-Up Award of the IEEE INFOCOM 2009 and the IEEE INFOCOM 2014, and a paper that received the IEEE ICC 2008 Best Paper Award. He was the TPC Co-Chair of a number of major conferences in communication networks, including INFOCOM 2012, WICON 2008, and IPCCC’06, and the TPC Vice-Chair of ICCCN’06. He was the General Chair of the IEEE Communication Theory Workshop 2007. He was an Associate Editor of the IEEE TRANSACTIONS ON WIRELESS COMMUNICATIONS, an Editor of the Computer Network Journal, and an Editor the IEEE Wireless Communication Magazine. He was a Distinguished Lecturer of the IEEE Communications Society. He is currently serving as the Editor-in-Chief of the IEEE TRANSAC- TIONS ON WIRELESS COMMUNICATIONS, an Editor-at-Large of the IEEE/ACM TRANSACTIONS ON NETWORKING and an Editor of the IEEE Network Magazine. Authorized licensed use limited to: University College London. Downloaded on May 24,2020 at 22:30:45 UTC from IEEE Xplore. Restrictions apply.","The performance evaluation has demonstrated the effectiveness of our scheme compared with other benchmark schemes. In the future work, we will investigate the sponsored content service market with network effects under information asymmetry, such as [50].",,,,,,1,1,Conclusion,0.0,0.2,0.9,0.01,,,,,
sample018,W4323644227->W2734426755,W4323644227,W2734426755,A Survey of Data Pricing for Data Marketplaces,An Online Pricing Mechanism for Mobile Crowdsensing Data Markets,high_confidence,[223],"Z. Zheng, Y. Peng, F. Wu, S. Tang, and G. Chen, “An online pricing mechanism for mobile crowdsensing data markets,” in Proceedings of the 18th ACM International Symposium on Mobile Ad Hoc Networking and Computing , ser. Mobihoc’17. New York, NY, USA: Association for Computing Machinery, 2017.","Zheng et al. [223] consider online pricing for mobile crowd-sensing data markets. Different from most of the work on data markets, they assume that data providers are distributed in space and there are three types of spa- tial queries from buyers, namely single-data query (e.g., inquiring the value at a speciﬁc location), multi-data query (e.g., inquiring the mean in a region) and range query (e.g., inquiring the probability that the data at a region falls in a given range).",sample018__source__A_Survey_of_Data_Pricing_for_Data_Marketplaces.pdf,D:\数据集\new\shujudingjia\annotation_package_final\representative\source_pdfs_by_sample_id\sample018__source__A_Survey_of_Data_Pricing_for_Data_Marketplaces.pdf,,,,0,1,Introduction,0.1,0.8,0.9,0.1408,,,,,
sample019,W3195579788->W2765365501,W3195579788,W2765365501,Data pricing in machine learning pipelines,Pricing of Data Products in Data Marketplaces,grouped,35,"Fricker SA, Maksimov YV (2017) Pricing of data products in data marketplaces. In: Ojala A, Holmström Olsson H, Werder K (eds) Software business. Springer, Cham, pp 49–66","Figure 1shows the connections of the four tasks. There are some previous surveys related to data pricing [ 35,63,120]. This article covers a substantially deeper and more focused scope than those.

... [another target-aligned mention] ...

2.3 Four types of data markets Similar to physical goods, the prices of data products are also inﬂuenced by the dominanceand diversity of supplies and demands in the market. Fricker and Maksimov [ 35] identify four types of data markets. First, in a monopoly ,a supplier holds enough market power to set prices to maximize proﬁts.",sample019__source__Data_pricing_in_machine_learning_pipelines.pdf,D:\数据集\new\shujudingjia\annotation_package_final\representative\source_pdfs_by_sample_id\sample019__source__Data_pricing_in_machine_learning_pipelines.pdf,,,,0,1,Introduction,0.5,0.4,0.8,0.048,,,,,
sample020,W4220901737->W2765365501,W4220901737,W2765365501,Data Market Design: A Systematic Literature Review,Pricing of Data Products in Data Marketplaces,high_confidence,[23],"S. A. Fricker and Y. V. Maksimov, ``Pricing of data products in data mar- ketplaces,'' in Proc. Int. Conf. Softw. Bus., in Lecture Notes in Business Information Processing, vol. 304, 2017, pp. 4966.","Finally, Fricker et al. performed a struc- tured literature review with snowballing and provide the most extensive overview of pricing data products in the academic literature on data markets [23]. They identify fourteen differ- ent approaches and evaluate each of these on functionality, context and maturity.

... [another target-aligned mention] ...

[1] and describes the relation of the actor who provides the data market to that of the data provider and data consumer. As will be discussed in section IV the question of who operates the data market has far-reaching consequences for the way a data market operates; for example: if the data provider is also the platform owner, it is easier for them to make sure all data is provided in a standard format and to set a price for the data product(s) provided [21], [23]. First, the quality of a data product has a service-level facet, which consists of extra-functional properties usually described in a service-level agreement (SLA), such as the availability of the data product and the responsibilities of the data provider and the data consumer [49].

... [another target-aligned mention] ...

If a work appears to t any of these criteria based on its title, abstract and keywords, it is included in our nal selection. Finally, since existing meta-research on data markets has already covered different types of pricing mechanisms [21][23], we excluded those works whose main contribu- tion, based on their abstract, concerns pricing mechanisms. B.

... [another target-aligned mention] ...

Finally, we note that the data consumer is not the only role with requirements as the data provider can also expect to be somehow rewarded for the exchange. As was previously noted in the introduction, the price determination problem has already been extensively covered in other works [22], [23]. However, other mechanisms for rewarding data providers can VOLUME 10, 2022 33139 S.",sample020__source__Data_Market_Design_A_Systematic_Literature_Revie.pdf,D:\数据集\new\shujudingjia\annotation_package_final\representative\source_pdfs_by_sample_id\sample020__source__Data_Market_Design_A_Systematic_Literature_Revie.pdf,,,,0,1,Other,0.0,0.9,0.95,0.081,,,,,
sample021,W4226305897->W2018362551,W4226305897,W2018362551,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,The challenges of personal data markets and privacy,range,123,"Spiekermann, S.; Acquisti, A.; Böhme, R.; Hui, K.-L. The challenges of personal data markets and privacy. Electron. Mark. 2015 , 25, 161–167. [CrossRef]","This category also discusses the implications of data trading for social, political, economic, and cultural contexts [ 5]. Finally, many articles discuss the topic of exploitation of individual data in personal data marketplaces [ 120–123]. Table 4.

... [another target-aligned mention] ...

[102–104] GovernanceExploring governing processes by certain actors (e.g., data marketplace operators) via several mechanisms, such as norms or power.[106–117] Social implications Discussing data marketplace impacts for society. [5,118–123] 3.4. The Finance Domain We identify three categories in the STOF ﬁnance domain (see Table 5).",sample021__source__Business_Data_Sharing_through_Data_Marketplaces_.pdf,D:\数据集\new\shujudingjia\annotation_package_final\representative\source_pdfs_by_sample_id\sample021__source__Business_Data_Sharing_through_Data_Marketplaces_.pdf,,,,0,1,Result,0.0,0.2,0.8,0.02,,,,,
sample022,W4226305897->W2533772775,W4226305897,W2533772775,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,A pricing model for Big Personal Data,grouped,133,"Yuncheng, S.; Bing, G.; Yan, S.; Xuliang, D.; Xiangqian, D.; Hong, Z. A pricing model for Big Personal Data. Tsinghua Sci. Technol. 2016 ,21, 482–490. [CrossRef]","[124] Market analysis Examining the market size and value of data marketplaces. [125–127] Pricing mechanismsDiscussing mathematical or economic approaches in evaluating, valuating, or pricing datasets (or data services) in data marketplaces.[47,128–145] Articles in the ﬁnance domain are not equally distributed across categories because most discussions are centralized in pricing mechanisms . Unlike the computational pricing in the STOF technology domain that focuses on technical aspects like query- or machine learning-based pricing (see Section 3.2), the pricing mechanisms here emphasize more on mathematical or economic approaches in valuating or pricing data in data marketplaces.

... [another target-aligned mention] ...

[ 131] propose pricing functions for aggregated personal data; Parra-Arnau [ 132] mathematically examine the tradeoff between privacy and money in personal data market; Yuncheng et al. [ 133] identify the properties that contribute to price personal data, such as data cost, value weight, information entropy, credit rating, and data reference index; Li et al. [ 134,135], discuss an economic theory of pricing personal data.",sample022__source__Business_Data_Sharing_through_Data_Marketplaces_.pdf,D:\数据集\new\shujudingjia\annotation_package_final\representative\source_pdfs_by_sample_id\sample022__source__Business_Data_Sharing_through_Data_Marketplaces_.pdf,,sample022__target__A_pricing_model_for_Big_Personal_Data.pdf,D:\数据集\new\shujudingjia\annotation_package_final\representative\target_pdfs_by_sample_id\sample022__target__A_pricing_model_for_Big_Personal_Data.pdf,0,0,Discussion,0.5,0.7,0.9,0.2572499999999999,,,,,
sample023,W4226305897->W2734426755,W4226305897,W2734426755,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,An Online Pricing Mechanism for Mobile Crowdsensing Data Markets,grouped,56,"Zheng, Z.; Peng, Y.; Wu, F.; Tang, S.; Chen, G. An online pricing mechanism for mobile crowdsensing data markets. In Proceedings of the 18th ACM International Symposium on Mobile Ad Hoc Networking and Computing, Chennai, India, 10–14 July 2017; pp. 1–10.","Another algorithm allows data price to be derived from the privacy losses [ 54]. Studies in query-based pricing mechanisms consider many cases such as query interfaces for mobile crowd-sensed data [ 55,56], cloud-based data mar- ketplaces with possibilities to share cloud resources [ 57], spatial data [ 58], aggregated data from multiple distributed system [ 59], and data acquired from Application Programming Interfaces (APIs) [ 60]. Moreover, Tang et al.",sample023__source__Business_Data_Sharing_through_Data_Marketplaces_.pdf,D:\数据集\new\shujudingjia\annotation_package_final\representative\source_pdfs_by_sample_id\sample023__source__Business_Data_Sharing_through_Data_Marketplaces_.pdf,,,,0,1,Discussion,0.0,0.2,0.8,0.014,,,,,
sample024,W4226305897->W2765365501,W4226305897,W2765365501,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,Pricing of Data Products in Data Marketplaces,grouped,47,"Fricker, S.A.; Maksimov, Y.V . Pricing of data products in data marketplaces. In Proceedings of the International Conference of Software Business, Tallinn, Estonia, 11–12 June 2017; pp. 49–66.","It focuses on technical discussions for data pricing. Computational pricing emphasizes algorithms as price determination mechanisms [ 47], such as machine learning-based algorithms to price training data or pre-trained models [48,49]. Advanced techniques are proposed, such as a smart pricing algorithm based on Stackelberg game theory.

... [another target-aligned mention] ...

[124] Market analysis Examining the market size and value of data marketplaces. [125–127] Pricing mechanismsDiscussing mathematical or economic approaches in evaluating, valuating, or pricing datasets (or data services) in data marketplaces.[47,128–145] Articles in the ﬁnance domain are not equally distributed across categories because most discussions are centralized in pricing mechanisms . Unlike the computational pricing in the STOF technology domain that focuses on technical aspects like query- or machine learning-based pricing (see Section 3.2), the pricing mechanisms here emphasize more on mathematical or economic approaches in valuating or pricing data in data marketplaces.

... [another target-aligned mention] ...

Beyond empirical research, systematic literature reviews are also conducted to study data pricing opportunities and challenges in data marketplaces [ 138]. This approach is also employed to explore the different data pricing models in the data marketplace literature [47,139]. Other topics are auction-based pricing using the Bayesian mathematical model [140,141] , a pricing mechanism negotiation based on a negotiation game theory based in the energy domain [ 142], and a generic pricing mechanism based on a non-cooperative game the- ory in Mobile Crowdsensing [ 143].",sample024__source__Business_Data_Sharing_through_Data_Marketplaces_.pdf,D:\数据集\new\shujudingjia\annotation_package_final\representative\source_pdfs_by_sample_id\sample024__source__Business_Data_Sharing_through_Data_Marketplaces_.pdf,,,,0,1,Result,0.3,0.4,0.8,0.104,,,,,
sample025,W4226305897->W2790400697,W4226305897,W2790400697,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,"A Survey on Big Data Market: Pricing, Trading and Protection",grouped,139,"Liang, F.; Yu, W.; An, D.; Yang, Q.; Fu, X.; Zhao, W. A Survey on Big Data Market: Pricing, Trading and Protection. IEEE Access 2018 ,6, 15132–15154. [CrossRef]","[124] Market analysis Examining the market size and value of data marketplaces. [125–127] Pricing mechanismsDiscussing mathematical or economic approaches in evaluating, valuating, or pricing datasets (or data services) in data marketplaces.[47,128–145] Articles in the ﬁnance domain are not equally distributed across categories because most discussions are centralized in pricing mechanisms . Unlike the computational pricing in the STOF technology domain that focuses on technical aspects like query- or machine learning-based pricing (see Section 3.2), the pricing mechanisms here emphasize more on mathematical or economic approaches in valuating or pricing data in data marketplaces.

... [another target-aligned mention] ...

Beyond empirical research, systematic literature reviews are also conducted to study data pricing opportunities and challenges in data marketplaces [ 138]. This approach is also employed to explore the different data pricing models in the data marketplace literature [47,139]. Other topics are auction-based pricing using the Bayesian mathematical model [140,141] , a pricing mechanism negotiation based on a negotiation game theory based in the energy domain [ 142], and a generic pricing mechanism based on a non-cooperative game the- ory in Mobile Crowdsensing [ 143].",sample025__source__Business_Data_Sharing_through_Data_Marketplaces_.pdf,D:\数据集\new\shujudingjia\annotation_package_final\representative\source_pdfs_by_sample_id\sample025__source__Business_Data_Sharing_through_Data_Marketplaces_.pdf,,sample025__target__A_Survey_on_Big_Data_Market_Pricing_Trading_and_.pdf,D:\数据集\new\shujudingjia\annotation_package_final\representative\target_pdfs_by_sample_id\sample025__target__A_Survey_on_Big_Data_Market_Pricing_Trading_and_.pdf,0,0,Other,0.0,0.3,0.8,0.009,,,,,
sample026,W4226305897->W2919782326,W4226305897,W2919782326,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,Making Big Money from Small Sensors: Trading Time-Series Data under Pufferfish Privacy,high_confidence,54,"Niu, C.; Zheng, Z.; Tang, S.; Gao, X.; Wu, F. Making Big Money from Small Sensors: Trading Time-Series Data under Puffer- ﬁsh Privacy. In Proceedings of the IEEE INFOCOM 2019—IEEE Conference on Computer Communications, Paris, France, 29 April–2 May 2019.","The studies discuss many aspects, for instance, the implementation of query pricing [ 52] and dynamic pricing considering “reserve price constraint” that helps data brokers maximize their revenue [ 53]. Another algorithm allows data price to be derived from the privacy losses [ 54]. Studies in query-based pricing mechanisms consider many cases such as query interfaces for mobile crowd-sensed data [ 55,56], cloud-based data mar- ketplaces with possibilities to share cloud resources [ 57], spatial data [ 58], aggregated data from multiple distributed system [ 59], and data acquired from Application Programming Interfaces (APIs) [ 60].",sample026__source__Business_Data_Sharing_through_Data_Marketplaces_.pdf,D:\数据集\new\shujudingjia\annotation_package_final\representative\source_pdfs_by_sample_id\sample026__source__Business_Data_Sharing_through_Data_Marketplaces_.pdf,,sample026__target__Making_Big_Money_from_Small_Sensors_Trading_Time.pdf,D:\数据集\new\shujudingjia\annotation_package_final\representative\target_pdfs_by_sample_id\sample026__target__Making_Big_Money_from_Small_Sensors_Trading_Time.pdf,0,0,Discussion,0.0,0.8,0.9,0.224,,,,,
sample027,W4226305897->W2920282816,W4226305897,W2920282816,Business Data Sharing through Data Marketplaces: A Systematic Literature Review,Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective,grouped,129,"Mao, W.; Zheng, Z.; Wu, F. Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective. In Proceedings of the IEEE INFOCOM 2019—IEEE Conference on Computer Communications, Paris, France, 29 April–2 May 2019 ; pp. 1837–1845.","[124] Market analysis Examining the market size and value of data marketplaces. [125–127] Pricing mechanismsDiscussing mathematical or economic approaches in evaluating, valuating, or pricing datasets (or data services) in data marketplaces.[47,128–145] Articles in the ﬁnance domain are not equally distributed across categories because most discussions are centralized in pricing mechanisms . Unlike the computational pricing in the STOF technology domain that focuses on technical aspects like query- or machine learning-based pricing (see Section 3.2), the pricing mechanisms here emphasize more on mathematical or economic approaches in valuating or pricing data in data marketplaces.

... [another target-aligned mention] ...

Res. 2021 ,16 3329 The topics of this category include data trading models that consider contract the- ory [ 128], information design perspective [ 129], and equilibrium pricing mechanism based on Stackelberg game approach [ 130]. Moreover, pricing mechanisms speciﬁcally for per- sonal data are also discussed.",sample027__source__Business_Data_Sharing_through_Data_Marketplaces_.pdf,D:\数据集\new\shujudingjia\annotation_package_final\representative\source_pdfs_by_sample_id\sample027__source__Business_Data_Sharing_through_Data_Marketplaces_.pdf,,,,0,1,Result,0.5,0.6,0.8,0.27,,,,,
sample028,W4284704402->W3215634159,W4284704402,W3215634159,"A Taxonomy on Smart Healthcare Technologies: Security Framework, Case Study, and Future Directions",Coalition Game and Blockchain-Based Optimal Data Pricing Scheme for Ride Sharing Beyond 5G,high_confidence,[167],"R. Kakkar, R. Gupta, S. Tanwar, and J. J. P. C. Rodrigues, “Coalition game and blockchain-based optimal data pricing scheme for ride sharing beyond 5G,” IEEE Systems Journal , pp. 1–10, 2021.","[166]proposed a framework integrating blockchain and InterPlan- etary File System (IPFS) for sharing e-health data in a mobile cloud environment. They used smart contracts for secure e-health data [167]. But, data conﬁ dentiality is still not on point.",,,,,,1,1,Methodology,0.0,0.3,0.9,0.045,,,,,
sample029,W4288685807->W2920282816,W4288685807,W2920282816,New and emerging forms of data and technologies: literature and bibliometric review,Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective,high_confidence,54,"Mao W, Zheng Z, Wu F (2019) “Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective, ”in Proceedings - IEEE INFOCOM, vol. 2019-April, pp. 1837 –1845","IoT data market- places are trying to securely monetarise data, and that requires development of strong reputation systems, hence the increased reference to blockchain in IoT data marketplaces[43]. The monetising of various IoT data, also requires different pricing mechanisms that ensure maximum value in different market settings [ 54]. Smart cities generate vast amount of sensor data among various different types of data from IoT devices captured in diverse dataformats.",,,,,,1,1,Discussion,0.3,0.5,0.9,0.1137499999999999,,,,,
sample030,W4323644227->W2743929098,W4323644227,W2743929098,A Survey of Data Pricing for Data Marketplaces,Data pricing strategy based on data quality,high_confidence,[219],"H. Yu and M. Zhang, “Data pricing strategy based on data quality,” Computers & Industrial Engineering, vol. 112, pp. 1 – 10, 2017.","Another difﬁculty is that many data sets do not have public prices associated. Yu and Zhang [219] consider pricing multiple versions formed by multiple factors of data quality and build a two-level model. The ﬁrst level is the data platform where a single owner is assumed, who designs the number of versions.",sample030__source__A_Survey_of_Data_Pricing_for_Data_Marketplaces.pdf,D:\数据集\new\shujudingjia\annotation_package_final\representative\source_pdfs_by_sample_id\sample030__source__A_Survey_of_Data_Pricing_for_Data_Marketplaces.pdf,,,,0,1,Other,0.0,0.8,1.0,0.064,,,,,
