Clean_ID,Title,Future_Citations,Is_Core
W3089176333,Towards Query Pricing on Incomplete Data,26,False
W4377287661,A Reference System Architecture with Data Sovereignty for Human-Centric Data Ecosystems,26,False
W2581979418,When Social Network Effect Meets Congestion Effect in Wireless Networks: Data Usage Equilibrium and Optimal Pricing,25,False
W4386021011,What is the value of data? A review of empirical methods,25,False
W3210061505,Personal big data pricing method based on differential privacy,24,False
W2010653253,A survey of smart data pricing,24,True
W2765365501,Pricing of Data Products in Data Marketplaces,24,True
W2994622980,Smart Contract-Based Data Commodity Transactions for Industrial Internet of Things,23,False
W2993467838,Evaluation of big data frameworks for analysis of smart grids,23,False
W4210813858,Data Boundary and Data Pricing Based on the Shapley Value,23,False
W2920282816,Pricing for Revenue Maximization in IoT Data Markets: An Information Design Perspective,23,True
W4382600626,"We, the Data",22,False
W3021125948,Contract Design in Hierarchical Game for Sponsored Content Service Market,22,False
W2045522464,Understanding Mobile Traffic Patterns of Large Scale Cellular Towers in Urban Environment,21,True
W3186955607,Pricing through health apps generated data—Digital dividend as a game changer: Discrete choice experiment,21,False
W3021370403,TIDES: A Trust-Aware IoT Data Economic System With Blockchain-Enabled Multi-Access Edge Computing,19,False
W2734426755,An Online Pricing Mechanism for Mobile Crowdsensing Data Markets,19,True
W2916829860,ARETE: On Designing Joint Online Pricing and Reward Sharing Mechanisms for Mobile Data Markets,19,False
W2734445852,A First Look at Information Entropy-Based Data Pricing,18,False
W3124517880,Optimal Sticky Prices under Rational Inattention,17,True
W2954543879,Iris: Deep Reinforcement Learning Driven Shared Spectrum Access Architecture for Indoor Neutral-Host Small Cells,17,False
W2011238498,Accounting for Incomplete Pass-Through,16,False
W2934375453,Personal Data Market Optimization Pricing Model Based on Privacy Level,16,False
W2168402580,Query-based data pricing,15,True
W2310916783,Marketplaces for Digital Data: Quo Vadis?,14,False
W1841962286,A Priced Public Sensing Framework for Heterogeneous IoT Architectures,13,True
W2123954539,Microeconomic Evidence on Price-Setting,11,False
W2180742472,Smart data pricing,9,True
W2097281067,TUBE,9,True
W2156471581,Prices and Market Shares in a Menu Cost Model,9,False
W2126626399,The Price Is Right,8,False
W2166180954,Temporary Price Changes and the Real Effects of Monetary Policy,8,False
W2190764372,Prospect Pricing in Cognitive Radio Networks,7,False
W2067195421,When Users Interfere with Protocols: Prospect Theory in Wireless Networks using Random Access and Data Pricing as an Example,6,False
W1777686370,The Pricing Behaviour of Firms in the Euro Area: New Survey Evidence,5,True
W2327152018,AMUSE: Empowering Users for Cost-Aware Offloading with Throughput-Delay Tradeoffs,5,False
W2150449738,The Pricing Behaviour of Italian Firms: New Survey Evidence on Price Stickiness,5,True
W2950902070,"A Survey of Smart Data Pricing: Past Proposals, Current Plans, and Future Trends",4,True
W2342966760,Time and Location Aware Mobile Data Pricing,4,False
W2508874533,Smart Media Pricing (SMP): Non-uniform packet pricing game for wireless multimedia communications,3,False
W1994174199,Smart data pricing: To share or not to share?,2,True
W2758203152,Incentivizing self-capping to increase cloud utilization,2,False
W1998665878,When Network Effect Meets Congestion Effect,1,True
W2509511072,Understanding rollover data,1,False
W1516789636,Debt Sustainability and Procyclical Fiscal Policies in Latin America,1,False
